time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	0.145859	323.825733	0.230360	0.151390	311.663748	0.214950
0.010000	0.119009	323.133485	0.230453	0.150164	312.117325	0.214777
0.020000	0.097415	322.558492	0.230549	0.150604	312.551061	0.214648
0.030000	0.082550	322.167940	0.230645	0.151835	312.957990	0.214590
0.040000	0.071197	321.950151	0.230737	0.150748	313.345783	0.214608
0.050000	0.058468	321.819764	0.230815	0.144752	313.729102	0.214681
0.060000	0.042568	321.654997	0.230874	0.134917	314.116234	0.214777
0.070000	0.027753	321.351405	0.230909	0.126742	314.499715	0.214866
0.080000	0.023115	320.869063	0.230926	0.127446	314.858477	0.214929
0.090000	0.037779	320.252219	0.230936	0.141376	315.171063	0.214961
0.100000	0.075743	319.611856	0.230953	0.166537	315.431311	0.214967
0.110000	0.133630	319.078181	0.230986	0.194582	315.655867	0.214960
0.120000	0.202205	318.744252	0.231038	0.214398	315.878247	0.214948
0.130000	0.269877	318.626474	0.231103	0.217283	316.132733	0.214936
0.140000	0.325887	318.659620	0.231169	0.201072	316.437102	0.214921
0.150000	0.362601	318.726963	0.231224	0.171360	316.783166	0.214895
0.160000	0.377637	318.709198	0.231261	0.139466	317.139620	0.214856
0.170000	0.375748	318.528518	0.231277	0.117966	317.465984	0.214805
0.180000	0.368468	318.169744	0.231280	0.115425	317.731724	0.214756
0.190000	0.369580	317.674252	0.231282	0.132309	317.931945	0.214728
0.200000	0.387540	317.115270	0.231299	0.160036	318.091791	0.214743
0.210000	0.419424	316.568336	0.231343	0.184128	318.256627	0.214810
0.220000	0.451348	316.088401	0.231420	0.190576	318.472586	0.214926
0.230000	0.466313	315.699413	0.231523	0.172639	318.767684	0.215075
0.240000	0.455131	315.397039	0.231638	0.134669	319.143089	0.215233
0.250000	0.423439	315.161089	0.231746	0.091015	319.577524	0.215382
0.260000	0.390131	314.971051	0.231836	0.060607	320.039619	0.215514
0.270000	0.378044	314.816885	0.231906	0.059983	320.499192	0.215634
0.280000	0.402679	314.699417	0.231965	0.097852	320.931186	0.215750
0.290000	0.465590	314.620361	0.232026	0.172995	321.312642	0.215873
0.300000	0.555465	314.568397	0.232099	0.275461	321.618574	0.216002
0.310000	0.654660	314.510942	0.232180	0.389792	321.822988	0.216132
0.320000	0.745996	314.398983	0.232251	0.498832	321.906856	0.216255
0.330000	0.816003	314.185485	0.232292	0.587214	321.869035	0.216362
0.340000	0.854817	313.850007	0.232287	0.644104	321.733098	0.216450
0.350000	0.855966	313.417357	0.232233	0.664894	321.544996	0.216516
0.360000	0.818594	312.959163	0.232144	0.651401	321.362016	0.216554
0.370000	0.751043	312.574297	0.232040	0.610273	321.238730	0.216546
0.380000	0.671724	312.354269	0.231940	0.550008	321.216726	0.216470
0.390000	0.604039	312.347962	0.231854	0.477859	321.320851	0.216308
0.400000	0.566431	312.541619	0.231775	0.398135	321.559182	0.216057
0.410000	0.563023	312.863286	0.231687	0.312761	321.921807	0.215736
0.420000	0.581088	313.209460	0.231571	0.223563	322.376855	0.215384
0.430000	0.597747	313.481359	0.231418	0.134669	322.867649	0.215045
0.440000	0.592487	313.614765	0.231232	0.053258	323.317086	0.214754
0.450000	0.558178	313.592079	0.231029	-0.011981	323.642158	0.214524
0.460000	0.504115	313.435369	0.230835	-0.053897	323.775420	0.214349
0.470000	0.449584	313.188730	0.230670	-0.069731	323.685426	0.214209
0.480000	0.412295	312.901528	0.230542	-0.062401	323.387471	0.214085
0.490000	0.398846	312.619600	0.230448	-0.039867	322.939574	0.213966
0.500000	0.402550	312.383034	0.230374	-0.013192	322.424760	0.213853
0.510000	0.408952	312.223981	0.230305	0.005819	321.926510	0.213750
0.520000	0.404628	312.160116	0.230230	0.006924	321.506986	0.213656
0.530000	0.383514	312.186627	0.230151	-0.016405	321.195851	0.213566
