time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-8.456853	341.346865	0.232649	7.378537	254.169054	0.251140
0.010000	-8.540664	340.985088	0.232451	7.393680	254.101140	0.251366
0.020000	-8.616146	340.645510	0.232267	7.409998	254.066771	0.251547
0.030000	-8.674569	340.327018	0.232105	7.424732	254.095855	0.251655
0.040000	-8.707331	340.004616	0.231965	7.430647	254.208001	0.251688
0.050000	-8.707372	339.649068	0.231843	7.420025	254.411138	0.251667
0.060000	-8.671339	339.252245	0.231737	7.391155	254.702702	0.251623
0.070000	-8.601533	338.837260	0.231650	7.353020	255.072140	0.251582
0.080000	-8.506395	338.444944	0.231591	7.324477	255.503593	0.251556
0.090000	-8.398815	338.106419	0.231569	7.327414	255.978535	0.251539
0.100000	-8.292636	337.820965	0.231585	7.377023	256.479106	0.251516
0.110000	-8.198773	337.553197	0.231630	7.474056	256.992690	0.251467
0.120000	-8.122563	337.249866	0.231686	7.602769	257.516298	0.251380
0.130000	-8.063325	336.864760	0.231728	7.735432	258.056990	0.251254
0.140000	-8.015997	336.377435	0.231737	7.841288	258.625167	0.251103
0.150000	-7.973846	335.797666	0.231700	7.896251	259.222412	0.250949
0.160000	-7.930952	335.157186	0.231617	7.889681	259.831513	0.250811
0.170000	-7.883537	334.496851	0.231504	7.826063	260.417492	0.250699
0.180000	-7.830002	333.857060	0.231384	7.721592	260.942160	0.250605
0.190000	-7.770315	333.273744	0.231280	7.597625	261.385003	0.250512
0.200000	-7.705607	332.776648	0.231210	7.474008	261.757490	0.250396
0.210000	-7.638524	332.385332	0.231178	7.364866	262.100847	0.250245
0.220000	-7.574038	332.101885	0.231172	7.277751	262.466848	0.250061
0.230000	-7.519859	331.904273	0.231171	7.214993	262.891077	0.249862
0.240000	-7.485548	331.746355	0.231148	7.175149	263.372755	0.249673
0.250000	-7.480140	331.568136	0.231084	7.153084	263.872334	0.249514
0.260000	-7.509023	331.314343	0.230970	7.139156	264.329263	0.249397
0.270000	-7.571426	330.954347	0.230809	7.119591	264.691616	0.249317
0.280000	-7.659707	330.494624	0.230616	7.079949	264.942253	0.249264
0.290000	-7.760707	329.977639	0.230413	7.011344	265.107441	0.249229
0.300000	-7.858570	329.467006	0.230222	6.916199	265.243516	0.249205
0.310000	-7.938084	329.025174	0.230061	6.809470	265.409612	0.249192
0.320000	-7.987854	328.693362	0.229940	6.713579	265.641725	0.249192
0.330000	-8.002843	328.481847	0.229861	6.649427	265.940833	0.249206
0.340000	-7.985710	328.373076	0.229816	6.628502	266.278263	0.249227
0.350000	-7.946190	328.333755	0.229794	6.650154	266.612443	0.249246
0.360000	-7.898168	328.328810	0.229785	6.704450	266.907760	0.249255
0.370000	-7.855199	328.331018	0.229783	6.777528	267.147876	0.249250
0.380000	-7.826318	328.323653	0.229785	6.855739	267.339094	0.249235
0.390000	-7.814061	328.297299	0.229793	6.926896	267.502592	0.249217
0.400000	-7.815449	328.244448	0.229808	6.979747	267.658381	0.249204
0.410000	-7.824995	328.156149	0.229826	7.004073	267.808613	0.249196
0.420000	-7.837762	328.023490	0.229837	6.992732	267.930194	0.249191
0.430000	-7.850891	327.843661	0.229829	6.944822	267.983125	0.249185
0.440000	-7.863381	327.627163	0.229794	6.867649	267.931915	0.249174
0.450000	-7.875095	327.401612	0.229734	6.775697	267.768329	0.249160
0.460000	-7.886121	327.209152	0.229660	6.686611	267.521576	0.249144
0.470000	-7.896866	327.097508	0.229591	6.615966	267.249223	0.249127
0.480000	-7.908486	327.107159	0.229544	6.573089	267.013992	0.249108
0.490000	-7.923006	327.258299	0.229525	6.559567	266.859745	0.249082
0.500000	-7.942778	327.541580	0.229530	6.570882	266.798910	0.249047
0.510000	-7.969281	327.916575	0.229541	6.600210	266.815211	0.249004
0.520000	-8.001731	328.320451	0.229540	6.642347	266.876624	0.248961
0.530000	-8.036243	328.685459	0.229518	6.695593	266.949740	0.248930
0.540000	-8.066275	328.958853	0.229477	6.760653	267.009003	0.248921
0.550000	-8.084474	329.116214	0.229433	6.837751	267.039174	0.248945
0.560000	-8.085205	329.162145	0.229403	6.924444	267.033100	0.249006
0.570000	-8.066560	329.119529	0.229400	7.016080	266.988009	0.249100
0.580000	-8.030943	329.015029	0.229426	7.108459	266.902864	0.249218
0.590000	-7.984174	328.869507	0.229473	7.200161	266.777875	0.249348
0.600000	-7.933769	328.697494	0.229528	7.291996	266.616235	0.249475
0.610000	-7.887159	328.513593	0.229581	7.383424	266.427337	0.249588
0.620000	-7.850307	328.339560	0.229629	7.468636	266.230050	0.249682
0.630000	-7.826830	328.205388	0.229678	7.535826	266.053904	0.249756
0.640000	-7.817572	328.140995	0.229737	7.571073	265.935907	0.249815
0.650000	-7.820688	328.161020	0.229807	7.564909	265.912310	0.249867
0.660000	-7.832253	328.250995	0.229882	7.517640	266.007583	0.249918
0.670000	-7.847298	328.364738	0.229942	7.440310	266.225413	0.249967
0.680000	-7.860923	328.437691	0.229968	7.350947	266.546361	0.250012
0.690000	-7.869064	328.411617	0.229948	7.268342	266.933619	0.250049
0.700000	-7.868712	328.258742	0.229890	7.206376	267.343879	0.250079
0.710000	-7.857819	327.993054	0.229823	7.170952	267.737752	0.250106
0.720000	-7.835316	327.663192	0.229784	7.159842	268.085105	0.250142
0.730000	-7.801395	327.330672	0.229808	7.164655	268.364591	0.250197
0.740000	-7.757775	327.044102	0.229909	7.174019	268.560746	0.250276
0.750000	-7.707587	326.821475	0.230073	7.177454	268.663386	0.250372
0.760000	-7.654894	326.648579	0.230263	7.169297	268.671689	0.250472
0.770000	-7.604190	326.493540	0.230429	7.151340	268.600846	0.250555
0.780000	-7.560108	326.329100	0.230530	7.132370	268.485998	0.250600
0.790000	-7.527126	326.149816	0.230546	7.123885	268.378640	0.250596
0.800000	-7.508924	325.974623	0.230490	7.133639	268.334586	0.250546
0.810000	-7.507458	325.834468	0.230395	7.160659	268.397297	0.250473
0.820000	-7.522270	325.753940	0.230304	7.194959	268.582766	0.250411
0.830000	-7.550552	325.738428	0.230248	7.222253	268.871302	0.250397
0.840000	-7.587916	325.773215	0.230238	7.230574	269.208848	0.250452
0.850000	-7.629348	325.832747	0.230262	7.214743	269.518315	0.250574
0.860000	-7.669881	325.893173	0.230298	7.176682	269.719959	0.250734
0.870000	-7.704952	325.941599	0.230325	7.122892	269.757285	0.250894
0.880000	-7.730710	325.978971	0.230338	7.062090	269.620435	0.251016
0.890000	-7.744498	326.016676	0.230344	7.004768	269.355680	0.251086
0.900000	-7.745508	326.068546	0.230359	6.963700	269.052620	0.251118
0.910000	-7.735394	326.141304	0.230397	6.952767	268.811121	0.251143
0.920000	-7.718473	326.227803	0.230461	6.982599	268.702067	0.251198
0.930000	-7.701045	326.307201	0.230546	7.054535	268.740861	0.251300
0.940000	-7.689560	326.353018	0.230638	7.156746	268.886286	0.251446
0.950000	-7.687982	326.345266	0.230726	7.265966	269.063864	0.251610
0.960000	-7.695518	326.280177	0.230805	7.355179	269.200678	0.251759
0.970000	-7.706277	326.172706	0.230877	7.403932	269.254402	0.251873
0.980000	-7.711669	326.051416	0.230953	7.406193	269.224238	0.251951
0.990000	-7.704703	325.949064	0.231050	7.371978	269.141727	0.252008
1.000000	-7.683838	325.892889	0.231182	7.322278	269.049385	0.252069
1.010000	-7.653872	325.896943	0.231357	7.280187	268.979895	0.252151
1.020000	-7.622958	325.957393	0.231575	7.262585	268.946297	0.252260
1.030000	-7.597318	326.051686	0.231822	7.275800	268.945737	0.252388
1.040000	-7.576844	326.142900	0.232080	7.316258	268.970921	0.252526
1.050000	-7.554434	326.189699	0.232331	7.374687	269.019795	0.252674
1.060000	-7.519588	326.159705	0.232565	7.441213	269.097213	0.252836
1.070000	-7.464106	326.041439	0.232783	7.508924	269.209260	0.253024
1.080000	-7.386452	325.849393	0.232997	7.574587	269.355850	0.253242
1.090000	-7.292380	325.619148	0.233222	7.636781	269.527134	0.253485
1.100000	-7.191822	325.393863	0.233468	7.693133	269.705688	0.253735
1.110000	-7.094194	325.207853	0.233735	7.738962	269.872912	0.253973
1.120000	-7.004821	325.074768	0.234011	7.768875	270.016637	0.254181
1.130000	-6.924237	324.985610	0.234276	7.780767	270.136790	0.254349
1.140000	-6.850353	324.916482	0.234514	7.779560	270.246405	0.254480
1.150000	-6.781980	324.840751	0.234713	7.777512	270.366442	0.254580
1.160000	-6.721467	324.738812	0.234869	7.789666	270.515676	0.254656
1.170000	-6.674695	324.601749	0.234984	7.826082	270.700310	0.254711
1.180000	-6.648169	324.430245	0.235061	7.884910	270.909298	0.254741
1.190000	-6.644752	324.232848	0.235104	7.950541	271.118722	0.254740
1.200000	-6.660627	324.025821	0.235119	7.998730	271.303068	0.254706
1.210000	-6.685526	323.832642	0.235117	8.006929	271.446815	0.254642
1.220000	-6.706424	323.679407	0.235110	7.965093	271.549828	0.254559
1.230000	-6.712851	323.585108	0.235106	7.881712	271.624508	0.254468
1.240000	-6.700980	323.550780	0.235107	7.781938	271.688044	0.254369
1.250000	-6.674444	323.554060	0.235105	7.698405	271.755215	0.254261
1.260000	-6.641730	323.553687	0.235085	7.658501	271.835155	0.254136
1.270000	-6.611986	323.503607	0.235035	7.673319	271.931555	0.253996
1.280000	-6.591748	323.371609	0.234952	7.732845	272.043502	0.253854
