time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-3.314522	259.554235	0.218042	2.623367	257.931852	0.216101
0.010000	-3.502537	259.686327	0.217950	2.552193	258.265669	0.215957
0.020000	-3.656395	259.764277	0.217903	2.491978	258.528929	0.215871
0.030000	-3.755235	259.744914	0.217934	2.454609	258.677987	0.215887
0.040000	-3.798365	259.606724	0.218056	2.451733	258.707357	0.216034
0.050000	-3.801736	259.356526	0.218259	2.492129	258.644582	0.216315
0.060000	-3.787574	259.031034	0.218513	2.578215	258.532067	0.216709
0.070000	-3.773621	258.691197	0.218786	2.703212	258.407204	0.217177
0.080000	-3.767335	258.408358	0.219050	2.850473	258.291501	0.217667
0.090000	-3.766355	258.244263	0.219294	2.996202	258.192738	0.218130
0.100000	-3.762753	258.230641	0.219524	3.115956	258.116001	0.218527
0.110000	-3.747575	258.355842	0.219757	3.193426	258.074783	0.218835
0.120000	-3.713597	258.564291	0.220011	3.227807	258.094469	0.219055
0.130000	-3.656353	258.769991	0.220301	3.235496	258.205882	0.219202
0.140000	-3.574532	258.880354	0.220631	3.244158	258.432377	0.219308
0.150000	-3.470442	258.823071	0.220998	3.281304	258.777091	0.219413
0.160000	-3.350245	258.567388	0.221400	3.362736	259.216543	0.219552
0.170000	-3.223231	258.132267	0.221829	3.486394	259.703886	0.219752
0.180000	-3.099857	257.577894	0.222282	3.634215	260.181298	0.220020
0.190000	-2.989202	256.983253	0.222748	3.780432	260.597510	0.220343
0.200000	-2.896967	256.418836	0.223210	3.901601	260.924262	0.220684
0.210000	-2.824829	255.926313	0.223646	3.983233	261.165304	0.220999
0.220000	-2.771122	255.513693	0.224026	4.020575	261.353860	0.221248
0.230000	-2.732087	255.166538	0.224326	4.015177	261.538702	0.221407
0.240000	-2.702846	254.867614	0.224530	3.971339	261.763699	0.221475
0.250000	-2.677875	254.613750	0.224636	3.895564	262.048646	0.221474
0.260000	-2.651402	254.421161	0.224662	3.798591	262.378947	0.221437
0.270000	-2.618364	254.317080	0.224637	3.696650	262.708280	0.221395
0.280000	-2.575955	254.322442	0.224601	3.608979	262.973405	0.221367
0.290000	-2.524950	254.434600	0.224593	3.551770	263.115937	0.221354
0.300000	-2.469693	254.619273	0.224640	3.532010	263.103466	0.221347
0.310000	-2.416284	254.817120	0.224753	3.545180	262.942448	0.221333
0.320000	-2.369607	254.963692	0.224919	3.578324	262.678089	0.221303
0.330000	-2.330738	255.014639	0.225115	3.616463	262.381446	0.221259
0.340000	-2.296155	254.964561	0.225314	3.648446	262.129176	0.221209
0.350000	-2.259331	254.849914	0.225496	3.669130	261.983623	0.221168
