time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-1.015669	260.092832	0.213260	2.402794	256.663882	0.209451
0.010000	-1.027414	260.225389	0.212580	2.112186	256.591786	0.208998
0.020000	-1.036692	260.386235	0.211957	1.864593	256.527769	0.208561
0.030000	-1.039467	260.587022	0.211434	1.690364	256.480682	0.208158
0.040000	-1.031325	260.813915	0.211027	1.599095	256.456016	0.207803
0.050000	-1.010446	261.032818	0.210727	1.579129	256.449992	0.207508
0.060000	-0.980946	261.204741	0.210509	1.604082	256.446474	0.207273
0.070000	-0.953855	261.302974	0.210348	1.643373	256.421370	0.207088
0.080000	-0.943918	261.323957	0.210220	1.672642	256.353937	0.206938
0.090000	-0.962896	261.287883	0.210111	1.680353	256.238825	0.206805
0.100000	-1.012560	261.230243	0.210016	1.668676	256.091601	0.206681
0.110000	-1.081413	261.188683	0.209931	1.649134	255.944451	0.206567
0.120000	-1.147698	261.189828	0.209860	1.635635	255.834237	0.206475
0.130000	-1.188098	261.239209	0.209806	1.638246	255.788357	0.206422
0.140000	-1.188310	261.316369	0.209773	1.660120	255.814135	0.206418
0.150000	-1.150274	261.377332	0.209761	1.697983	255.896231	0.206461
0.160000	-1.092278	261.366301	0.209762	1.744839	256.004358	0.206530
0.170000	-1.041634	261.235222	0.209764	1.792922	256.109862	0.206593
0.180000	-1.023376	260.964291	0.209754	1.835551	256.204907	0.206618
0.190000	-1.050239	260.572906	0.209720	1.867672	256.314588	0.206588
0.200000	-1.118294	260.113390	0.209660	1.885671	256.493519	0.206506
0.210000	-1.209677	259.648776	0.209574	1.887202	256.805330	0.206390
0.220000	-1.300497	259.225296	0.209470	1.871467	257.292983	0.206262
0.230000	-1.369854	258.853420	0.209350	1.839851	257.954384	0.206131
0.240000	-1.405960	258.506676	0.209219	1.796282	258.736472	0.205990
0.250000	-1.407332	258.138458	0.209079	1.746577	259.551640	0.205826
0.260000	-1.379914	257.708399	0.208935	1.696612	260.308210	0.205626
0.270000	-1.332961	257.205414	0.208789	1.650342	260.939587	0.205388
0.280000	-1.276585	256.655942	0.208642	1.609385	261.419158	0.205122
0.290000	-1.222054	256.113472	0.208480	1.575007	261.757590	0.204845
0.300000	-1.183552	255.635685	0.208274	1.551073	261.988340	0.204572
0.310000	-1.178828	255.262335	0.207981	1.544936	262.150172	0.204312
0.320000	-1.226750	255.005331	0.207557	1.564104	262.272729	0.204061
0.330000	-1.341772	254.853591	0.206970	1.609686	262.367747	0.203809
0.340000	-1.527366	254.785869	0.206220	1.670685	262.427591	0.203536
0.350000	-1.771330	254.781758	0.205343	1.723384	262.432723	0.203222
0.360000	-2.045563	254.825667	0.204404	1.737121	262.366801	0.202852
0.370000	-2.311432	254.905789	0.203486	1.683899	262.232503	0.202428
0.380000	-2.529842	255.013495	0.202665	1.547419	262.057847	0.201965
0.390000	-2.672843	255.145624	0.201998	1.328294	261.886741	0.201489
0.400000	-2.732170	255.306297	0.201509	1.044748	261.757412	0.201022
0.410000	-2.720806	255.502389	0.201194	0.729830	261.681339	0.200573
0.420000	-2.666597	255.731132	0.201017	0.425962	261.636148	0.200133
0.430000	-2.600823	255.966736	0.200932	0.176938	261.577639	0.199694
0.440000	-2.546960	256.157917	0.200893	0.017859	261.464275	0.199255
0.450000	-2.514357	256.244204	0.200870	-0.034771	261.280306	0.198836
0.460000	-2.498659	256.186813	0.200859	0.011056	261.045232	0.198470
0.470000	-2.487433	255.997557	0.200879	0.124362	260.805514	0.198186
0.480000	-2.467576	255.746267	0.200959	0.260799	260.613594	0.197999
0.490000	-2.431066	255.537542	0.201118	0.377366	260.504574	0.197901
0.500000	-2.377105	255.466070	0.201355	0.446619	260.480947	0.197873
0.510000	-2.310644	255.574035	0.201643	0.464722	260.511753	0.197895
0.520000	-2.238818	255.833567	0.201939	0.450261	260.546446	0.197957
0.530000	-2.167545	256.162089	0.202201	0.434721	260.537754	0.198059
0.540000	-2.099957	256.459719	0.202404	0.448960	260.463910	0.198209
0.550000	-2.036983	256.648393	0.202544	0.511206	260.340494	0.198410
0.560000	-1.978945	256.695938	0.202639	0.620836	260.216093	0.198659
0.570000	-1.926675	256.619117	0.202720	0.759409	260.152743	0.198943
0.580000	-1.881329	256.469157	0.202818	0.897629	260.199002	0.199246
0.590000	-1.843233	256.308061	0.202955	1.005175	260.367277	0.199542
0.600000	-1.810824	256.185100	0.203135	1.059916	260.625810	0.199808
0.610000	-1.780573	256.121928	0.203340	1.053975	260.909592	0.200021
0.620000	-1.748101	256.111232	0.203536	0.995480	261.145948	0.200168
0.630000	-1.709940	256.127905	0.203680	0.906076	261.283492	0.200246
0.640000	-1.665139	256.146034	0.203740	0.814991	261.311072	0.200264
0.650000	-1.616082	256.153073	0.203704	0.750956	261.257795	0.200233
0.660000	-1.568306	256.155340	0.203582	0.733833	261.174415	0.200163
0.670000	-1.529547	256.174063	0.203407	0.768148	261.105856	0.200055
0.680000	-1.508315	256.235149	0.203223	0.840474	261.069250	0.199904
