time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-0.906029	253.631405	0.215081	-1.087646	228.588332	0.223071
0.010000	-0.735399	253.417703	0.215566	-0.957698	228.373435	0.222999
0.020000	-0.577033	253.195978	0.216020	-0.843716	228.202232	0.222991
0.030000	-0.440587	252.972233	0.216423	-0.755421	228.109194	0.223087
0.040000	-0.331681	252.769772	0.216763	-0.693915	228.113076	0.223284
0.050000	-0.252404	252.619592	0.217043	-0.653650	228.215572	0.223548
0.060000	-0.202162	252.543238	0.217274	-0.626854	228.403346	0.223831
0.070000	-0.177672	252.538043	0.217478	-0.607358	228.650727	0.224098
0.080000	-0.172574	252.573011	0.217672	-0.591999	228.921703	0.224336
0.090000	-0.178221	252.598130	0.217871	-0.579786	229.172906	0.224554
0.100000	-0.186449	252.563819	0.218082	-0.570169	229.360971	0.224773
0.110000	-0.193002	252.442415	0.218307	-0.561684	229.455360	0.225007
0.120000	-0.198933	252.241523	0.218541	-0.551540	229.452320	0.225262
0.130000	-0.208401	252.001489	0.218781	-0.536125	229.381626	0.225532
0.140000	-0.223907	251.776644	0.219022	-0.512166	229.299304	0.225810
0.150000	-0.242147	251.609256	0.219259	-0.478205	229.267004	0.226090
0.160000	-0.253454	251.510321	0.219489	-0.435871	229.327155	0.226369
0.170000	-0.245670	251.458082	0.219704	-0.390254	229.486398	0.226643
0.180000	-0.210553	251.414845	0.219902	-0.348772	229.715361	0.226905
0.190000	-0.149118	251.351679	0.220083	-0.318532	229.963470	0.227145
0.200000	-0.072536	251.266161	0.220257	-0.303279	230.179651	0.227357
0.210000	0.002490	251.182900	0.220439	-0.301610	230.328083	0.227545
0.220000	0.061689	251.137146	0.220648	-0.307595	230.393170	0.227722
0.230000	0.100171	251.151645	0.220891	-0.313466	230.375264	0.227904
0.240000	0.124413	251.220404	0.221162	-0.312702	230.283388	0.228102
0.250000	0.148173	251.308530	0.221437	-0.301859	230.130718	0.228314
0.260000	0.184636	251.368059	0.221683	-0.280699	229.934611	0.228528
0.270000	0.239093	251.361382	0.221871	-0.251419	229.719184	0.228724
0.280000	0.306113	251.280793	0.221987	-0.218050	229.517075	0.228886
0.290000	0.372785	251.155155	0.222040	-0.186227	229.367555	0.229013
0.300000	0.426403	251.040652	0.222064	-0.162683	229.309394	0.229113
0.310000	0.462409	250.999075	0.222104	-0.153844	229.368699	0.229200
0.320000	0.488014	251.072345	0.222201	-0.163791	229.545035	0.229291
0.330000	0.519020	251.264121	0.222373	-0.192623	229.802470	0.229388
0.340000	0.571228	251.537065	0.222611	-0.236123	230.072956	0.229489
0.350000	0.651046	251.827467	0.222880	-0.286748	230.274971	0.229584
0.360000	0.750649	252.070290	0.223138	-0.335423	230.341642	0.229668
0.370000	0.850383	252.222354	0.223351	-0.373674	230.245146	0.229740
0.380000	0.926923	252.273203	0.223511	-0.395905	230.004719	0.229805
0.390000	0.962726	252.241071	0.223630	-0.401400	229.674927	0.229874
0.400000	0.952408	252.159704	0.223736	-0.395046	229.322361	0.229957
0.410000	0.903973	252.064995	0.223855	-0.385809	229.003820	0.230065
0.420000	0.835333	251.987197	0.223998	-0.382995	228.754573	0.230206
0.430000	0.767953	251.948710	0.224160	-0.391859	228.586946	0.230382
0.440000	0.719948	251.963949	0.224325	-0.410921	228.494694	0.230588
0.450000	0.700898	252.038523	0.224476	-0.432626	228.459466	0.230807
0.460000	0.710033	252.167730	0.224606	-0.447143	228.458382	0.231015
0.470000	0.738337	252.336247	0.224726	-0.447348	228.472115	0.231188
0.480000	0.773708	252.520615	0.224856	-0.432479	228.490991	0.231313
0.490000	0.807089	252.694590	0.225017	-0.408759	228.515540	0.231390
0.500000	0.836893	252.835931	0.225215	-0.386711	228.550120	0.231434
0.510000	0.869544	252.932285	0.225443	-0.376276	228.592721	0.231469
0.520000	0.915611	252.983801	0.225677	-0.381868	228.627470	0.231519
0.530000	0.983304	253.001259	0.225895	-0.399761	228.625827	0.231599
0.540000	1.072668	253.000680	0.226079	-0.419439	228.557723	0.231715
0.550000	1.173582	252.997209	0.226231	-0.428590	228.407573	0.231863
0.560000	1.268831	253.001441	0.226365	-0.419182	228.186371	0.232033
0.570000	1.340952	253.019772	0.226501	-0.391191	227.932450	0.232212
0.580000	1.379802	253.057810	0.226653	-0.351798	227.699426	0.232392
0.590000	1.387359	253.123713	0.226823	-0.310751	227.536370	0.232567
0.600000	1.377393	253.227934	0.227001	-0.275013	227.468770	0.232738
0.610000	1.369914	253.377915	0.227171	-0.246138	227.488108	0.232908
0.620000	1.382683	253.569984	0.227318	-0.221753	227.554548	0.233076
0.630000	1.423425	253.783942	0.227435	-0.199605	227.612671	0.233237
0.640000	1.486173	253.985650	0.227523	-0.180949	227.614728	0.233380
0.650000	1.553454	254.138544	0.227590	-0.170796	227.541115	0.233491
0.660000	1.603553	254.218983	0.227649	-0.174938	227.407098	0.233562
0.670000	1.619665	254.227009	0.227712	-0.195881	227.251343	0.233596
0.680000	1.596663	254.186240	0.227787	-0.230373	227.112798	0.233608
0.690000	1.542250	254.133001	0.227876	-0.269932	227.010421	0.233623
0.700000	1.472354	254.101208	0.227974	-0.303887	226.938131	0.233666
0.710000	1.403834	254.111598	0.228067	-0.323283	226.876295	0.233752
0.720000	1.348819	254.170167	0.228140	-0.324013	226.809512	0.233884
0.730000	1.313229	254.273900	0.228181	-0.308201	226.737469	0.234045
0.740000	1.298777	254.416914	0.228186	-0.283484	226.672516	0.234200
0.750000	1.305430	254.591057	0.228157	-0.260307	226.627886	0.234312
0.760000	1.331722	254.781054	0.228102	-0.247968	226.606131	0.234351
0.770000	1.372836	254.960441	0.228029	-0.250954	226.595252	0.234304
0.780000	1.418758	255.095238	0.227945	-0.267392	226.573838	0.234182
0.790000	1.455139	255.156458	0.227858	-0.290616	226.521359	0.234008
0.800000	1.467654	255.134579	0.227778	-0.313131	226.428367	0.233813
0.810000	1.448191	255.045852	0.227717	-0.330703	226.302469	0.233622
0.820000	1.399663	254.924904	0.227688	-0.344102	226.167693	0.233456
0.830000	1.336524	254.807425	0.227699	-0.357534	226.056825	0.233325
0.840000	1.279878	254.713898	0.227745	-0.374981	225.999018	0.233233
0.850000	1.248590	254.644754	0.227810	-0.397091	226.008023	0.233178
0.860000	1.249957	254.589228	0.227869	-0.420802	226.077275	0.233146
0.870000	1.274483	254.540483	0.227899	-0.441819	226.185059	0.233118
0.880000	1.298176	254.505172	0.227885	-0.458016	226.307115	0.233069
0.890000	1.292607	254.499884	0.227825	-0.471194	226.429278	0.232984
0.900000	1.238732	254.536644	0.227731	-0.485957	226.552610	0.232858
0.910000	1.137540	254.607947	0.227613	-0.506599	226.688109	0.232708
0.920000	1.011318	254.682727	0.227481	-0.534238	226.844360	0.232561
0.930000	0.894010	254.717455	0.227340	-0.566131	227.015627	0.232442
0.940000	0.815347	254.676259	0.227192	-0.597351	227.177864	0.232363
0.950000	0.787202	254.548005	0.227042	-0.623433	227.296137	0.232317
0.960000	0.799424	254.350709	0.226901	-0.642198	227.340774	0.232281
0.970000	0.826855	254.122178	0.226786	-0.653966	227.304204	0.232233
0.980000	0.842954	253.903881	0.226709	-0.660638	227.209040	0.232162
0.990000	0.832259	253.727330	0.226677	-0.664654	227.101844	0.232073
1.000000	0.795527	253.608484	0.226683	-0.668471	227.034640	0.231983
1.010000	0.746267	253.549708	0.226713	-0.674489	227.043293	0.231906
1.020000	0.702218	253.544918	0.226752	-0.684959	227.134131	0.231844
1.030000	0.677309	253.583510	0.226789	-0.701446	227.285865	0.231793
1.040000	0.678119	253.651446	0.226821	-0.723877	227.465255	0.231742
1.050000	0.705174	253.730959	0.226856	-0.749625	227.646956	0.231687
1.060000	0.756235	253.801370	0.226906	-0.773355	227.825373	0.231635
1.070000	0.828014	253.842052	0.226978	-0.788166	228.011188	0.231601
1.080000	0.914896	253.836447	0.227075	-0.787910	228.214842	0.231600
1.090000	1.006450	253.775460	0.227188	-0.769771	228.428053	0.231642
1.100000	1.087266	253.659668	0.227304	-0.735829	228.616503	0.231724
1.110000	1.141349	253.500681	0.227410	-0.692655	228.730394	0.231832
1.120000	1.159716	253.321061	0.227498	-0.648953	228.728399	0.231948
1.130000	1.146542	253.150838	0.227571	-0.612253	228.601802	0.232055
1.140000	1.119083	253.019403	0.227642	-0.586194	228.384908	0.232145
1.150000	1.100076	252.944964	0.227721	-0.569724	228.145167	0.232219
1.160000	1.106400	252.926969	0.227815	-0.558499	227.957226	0.232282
1.170000	1.140640	252.946733	0.227916	-0.547673	227.873409	0.232344
1.180000	1.190716	252.977291	0.228009	-0.534460	227.904710	0.232406
1.190000	1.237716	252.998156	0.228073	-0.519137	228.020772	0.232466
1.200000	1.266889	253.007360	0.228095	-0.504089	228.167433	0.232518
1.210000	1.275003	253.023997	0.228072	-0.491719	228.291626	0.232555
1.220000	1.269914	253.078890	0.228016	-0.482626	228.360596	0.232578
1.230000	1.263342	253.197214	0.227947	-0.475177	228.366873	0.232592
1.240000	1.262023	253.381789	0.227886	-0.466652	228.319588	0.232606
1.250000	1.262903	253.606435	0.227842	-0.455209	228.230562	0.232625
1.260000	1.255077	253.823878	0.227811	-0.441454	228.105459	0.232646
1.270000	1.226919	253.984689	0.227780	-0.428672	227.945262	0.232657
1.280000	1.174058	254.057478	0.227730	-0.421425	227.755330	0.232646
1.290000	1.103805	254.040330	0.227655	-0.423058	227.553929	0.232603
1.300000	1.033704	253.959011	0.227560	-0.433313	227.372703	0.232530
1.310000	0.984850	253.854696	0.227463	-0.447518	227.247139	0.232438
1.320000	0.973025	253.768221	0.227384	-0.458237	227.201724	0.232345
1.330000	1.001741	253.727591	0.227332	-0.458935	227.237956	0.232268
1.340000	1.060404	253.742358	0.227299	-0.447763	227.331918	0.232216
1.350000	1.128406	253.805154	0.227270	-0.429093	227.442870	0.232188
1.360000	1.183136	253.898434	0.227225	-0.411674	227.528756	0.232172
1.370000	1.208192	254.003359	0.227157	-0.404366	227.561456	0.232152
1.380000	1.198319	254.107343	0.227073	-0.411986	227.535336	0.232113
1.390000	1.159491	254.207329	0.226991	-0.433594	227.466116	0.232049
1.400000	1.104955	254.307624	0.226926	-0.463842	227.381367	0.231959
1.410000	1.049572	254.413773	0.226886	-0.496097	227.307010	0.231851
1.420000	1.004853	254.526044	0.226862	-0.525305	227.255299	0.231737
1.430000	0.976168	254.636293	0.226841	-0.549208	227.218980	0.231628
1.440000	0.962557	254.730097	0.226807	-0.567830	227.174184	0.231530
1.450000	0.958786	254.793227	0.226754	-0.582104	227.091479	0.231445
1.460000	0.958795	254.819214	0.226684	-0.592619	226.950816	0.231367
1.470000	0.959200	254.813779	0.226606	-0.599029	226.753572	0.231287
1.480000	0.961391	254.793244	0.226533	-0.600253	226.525331	0.231198
1.490000	0.971154	254.777302	0.226470	-0.595312	226.307187	0.231092
1.500000	0.995729	254.780083	0.226419	-0.584516	226.139218	0.230969
1.510000	1.039428	254.804504	0.226374	-0.570446	226.044009	0.230835
1.520000	1.099753	254.842589	0.226331	-0.558062	226.018248	0.230701
1.530000	1.165990	254.880757	0.226287	-0.553414	226.036380	0.230577
1.540000	1.221413	254.906679	0.226241	-0.561141	226.064536	0.230472
1.550000	1.248629	254.914387	0.226198	-0.581866	226.077988	0.230387
1.560000	1.236038	254.905778	0.226159	-0.611035	226.073504	0.230320
1.570000	1.182689	254.888285	0.226126	-0.640279	226.070017	0.230265
1.580000	1.099449	254.870057	0.226096	-0.660964	226.096818	0.230217
1.590000	1.005953	254.855354	0.226067	-0.668120	226.175296	0.230171
1.600000	0.924413	254.843088	0.226034	-0.662518	226.304111	0.230120
1.610000	0.872436	254.829542	0.225989	-0.649757	226.455943	0.230058
1.620000	0.857320	254.812965	0.225927	-0.637129	226.587612	0.229977
1.630000	0.874067	254.795808	0.225847	-0.630331	226.658422	0.229876
1.640000	0.908195	254.782092	0.225751	-0.631792	226.647856	0.229759
1.650000	0.942464	254.771815	0.225643	-0.640898	226.564793	0.229636
1.660000	0.964378	254.757474	0.225533	-0.655124	226.444622	0.229520
1.670000	0.970538	254.726589	0.225426	-0.670949	226.335698	0.229420
1.680000	0.965516	254.669478	0.225326	-0.684326	226.280652	0.229337
1.690000	0.956371	254.587488	0.225235	-0.691300	226.300277	0.229263
1.700000	0.946593	254.496523	0.225152	-0.689207	226.387095	0.229184
1.710000	0.933320	254.423489	0.225078	-0.678032	226.511650	0.229087
1.720000	0.909260	254.396848	0.225016	-0.660861	226.638215	0.228967
1.730000	0.867916	254.434926	0.224965	-0.642850	226.741587	0.228828
1.740000	0.809181	254.536702	0.224924	-0.629233	226.816360	0.228680
1.750000	0.742343	254.679139	0.224885	-0.623624	226.874781	0.228536
1.760000	0.684459	254.822655	0.224838	-0.627468	226.935740	0.228403
1.770000	0.653968	254.922923	0.224772	-0.640437	227.011620	0.228282
1.780000	0.661973	254.944758	0.224683	-0.660985	227.100099	0.228166
1.790000	0.705715	254.873349	0.224573	-0.686624	227.185059	0.228050
1.800000	0.768359	254.719106	0.224452	-0.714122	227.246030	0.227931
1.810000	0.825789	254.514001	0.224333	-0.740080	227.270942	0.227813
1.820000	0.856701	254.299754	0.224229	-0.761844	227.264766	0.227700
1.830000	0.850371	254.111740	0.224149	-0.778348	227.248898	0.227595
1.840000	0.808579	253.965606	0.224089	-0.790404	227.252004	0.227496
1.850000	0.742240	253.853537	0.224037	-0.800332	227.298368	0.227392
1.860000	0.666025	253.752467	0.223975	-0.811090	227.400473	0.227272
1.870000	0.593903	253.639621	0.223885	-0.825118	227.558189	0.227129
1.880000	0.536553	253.506204	0.223759	-0.843174	227.761656	0.226964
1.890000	0.500247	253.361283	0.223602	-0.863597	227.993396	0.226784
1.900000	0.486831	253.224068	0.223432	-0.882553	228.228432	0.226602
1.910000	0.494762	253.109902	0.223272	-0.895545	228.435578	0.226429
1.920000	0.520714	253.018937	0.223141	-0.899775	228.583965	0.226269
1.930000	0.560761	252.934675	0.223044	-0.896159	228.654930	0.226119
1.940000	0.610329	252.833449	0.222973	-0.889648	228.653615	0.225974
1.950000	0.663297	252.699240	0.222911	-0.887398	228.612101	0.225833
1.960000	0.711399	252.534933	0.222839	-0.895655	228.579495	0.225702
1.970000	0.744760	252.363213	0.222746	-0.917169	228.602001	0.225589
1.980000	0.753541	252.216341	0.222629	-0.950515	228.702604	0.225500
1.990000	0.730243	252.120183	0.222493	-0.991280	228.870835	0.225434
2.000000	0.672281	252.080747	0.222347	-1.033776	229.067686	0.225380
2.010000	0.584244	252.080061	0.222200	-1.071881	229.242856	0.225320
2.020000	0.478700	252.083554	0.222056	-1.098935	229.355934	0.225240
2.030000	0.374281	252.055662	0.221919	-1.107925	229.392387	0.225134
2.040000	0.290964	251.976426	0.221790	-1.093292	229.368633	0.225011
2.050000	0.244167	251.851167	0.221671	-1.054163	229.325254	0.224886
2.060000	0.240126	251.708446	0.221567	-0.997058	229.311568	0.224781
2.070000	0.274213	251.587069	0.221482	-0.935687	229.367336	0.224712
2.080000	0.332441	251.518325	0.221421	-0.886985	229.508140	0.224684
2.090000	0.395449	251.512253	0.221380	-0.864900	229.719728	0.224685
2.100000	0.443985	251.554897	0.221350	-0.875041	229.963157	0.224693
2.110000	0.464480	251.617710	0.221319	-0.912995	230.188350	0.224678
2.120000	0.452748	251.673455	0.221271	-0.967072	230.350557	0.224618
2.130000	0.414231	251.709257	0.221197	-1.023922	230.423669	0.224510
2.140000	0.360883	251.729380	0.221100	-1.074083	230.406004	0.224368
2.150000	0.306758	251.746933	0.220993	-1.114792	230.317162	0.224222
2.160000	0.264563	251.770545	0.220891	-1.149053	230.187889	0.224106
