time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-0.891196	327.954739	0.214969	1.278669	216.844675	0.218879
0.010000	-0.870923	327.932458	0.214799	1.109620	217.171523	0.219214
0.020000	-0.858133	327.964693	0.214646	0.970512	217.445205	0.219482
0.030000	-0.857773	328.080151	0.214520	0.878062	217.623392	0.219637
0.040000	-0.870806	328.266577	0.214418	0.830720	217.681942	0.219665
0.050000	-0.894461	328.473207	0.214332	0.814111	217.618890	0.219582
0.060000	-0.923692	328.628458	0.214254	0.812621	217.454519	0.219430
0.070000	-0.953038	328.664992	0.214179	0.819072	217.227650	0.219258
0.080000	-0.978147	328.542462	0.214109	0.836401	216.988428	0.219110
0.090000	-0.996628	328.260467	0.214046	0.871238	216.788647	0.219014
0.100000	-1.008196	327.858676	0.213983	0.924825	216.671376	0.218978
0.110000	-1.014254	327.405552	0.213908	0.988225	216.661991	0.218987
0.120000	-1.017233	326.980106	0.213806	1.045162	216.762636	0.219013
0.130000	-1.019967	326.652293	0.213669	1.080194	216.952221	0.219023
0.140000	-1.025252	326.467367	0.213502	1.086451	217.193331	0.218994
0.150000	-1.035441	326.438182	0.213323	1.068063	217.444790	0.218919
0.160000	-1.051940	326.546895	0.213156	1.036558	217.675036	0.218807
0.170000	-1.074734	326.754256	0.213019	1.004235	217.869725	0.218681
0.180000	-1.102337	327.011829	0.212922	0.978594	218.029512	0.218566
0.190000	-1.132308	327.272134	0.212861	0.960344	218.159717	0.218483
0.200000	-1.161982	327.494295	0.212823	0.945188	218.258678	0.218440
0.210000	-1.188800	327.646475	0.212789	0.927792	218.312554	0.218433
0.220000	-1.210136	327.708264	0.212744	0.905596	218.300516	0.218449
0.230000	-1.223232	327.674816	0.212676	0.880423	218.207983	0.218473
0.240000	-1.225998	327.561246	0.212581	0.857191	218.040360	0.218491
0.250000	-1.218543	327.403469	0.212461	0.840855	217.828577	0.218499
0.260000	-1.204283	327.252231	0.212328	0.833768	217.621373	0.218496
0.270000	-1.189332	327.160369	0.212196	0.834953	217.466427	0.218490
0.280000	-1.180053	327.167385	0.212082	0.841087	217.389467	0.218484
0.290000	-1.180145	327.287465	0.211996	0.847810	217.383173	0.218475
0.300000	-1.189204	327.505573	0.211939	0.850399	217.413181	0.218455
0.310000	-1.203788	327.782283	0.211905	0.844120	217.438347	0.218418
0.320000	-1.220247	328.064356	0.211879	0.825201	217.433145	0.218362
0.330000	-1.237434	328.297090	0.211845	0.792717	217.398377	0.218298
0.340000	-1.257576	328.435845	0.211794	0.750469	217.354173	0.218245
0.350000	-1.284886	328.455437	0.211722	0.707259	217.321246	0.218218
0.360000	-1.322931	328.355842	0.211636	0.674646	217.304271	0.218218
0.370000	-1.372347	328.161863	0.211544	0.662812	217.289304	0.218236
0.380000	-1.429937	327.915584	0.211458	0.676522	217.256626	0.218253
0.390000	-1.489219	327.663970	0.211383	0.713303	217.198643	0.218255
0.400000	-1.541816	327.447317	0.211320	0.764824	217.128305	0.218244
