time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	8.216108	379.810266	0.248580	-12.075854	427.627172	0.237771
0.010000	8.237213	379.341164	0.248458	-11.907751	427.669563	0.237359
0.020000	8.263181	378.951279	0.248352	-11.743925	427.656672	0.237012
0.030000	8.299154	378.696976	0.248270	-11.595238	427.549104	0.236772
0.040000	8.350424	378.593822	0.248215	-11.480524	427.337382	0.236645
0.050000	8.419917	378.616285	0.248182	-11.419995	427.047078	0.236603
0.060000	8.505673	378.714445	0.248161	-11.424704	426.731650	0.236604
0.070000	8.600320	378.840936	0.248144	-11.488596	426.452795	0.236605
0.080000	8.692986	378.975257	0.248126	-11.588198	426.255141	0.236584
0.090000	8.772229	379.132981	0.248104	-11.690443	426.147105	0.236543
0.100000	8.828076	379.355336	0.248076	-11.764483	426.097889	0.236501
0.110000	8.852578	379.685540	0.248041	-11.791382	426.051868	0.236482
0.120000	8.839991	380.144992	0.247990	-11.767291	425.951564	0.236507
0.130000	8.788248	380.720972	0.247919	-11.699701	425.756106	0.236583
0.140000	8.702064	381.370148	0.247829	-11.600180	425.446387	0.236704
0.150000	8.595965	382.034425	0.247733	-11.478359	425.017819	0.236856
0.160000	8.494381	382.661660	0.247656	-11.340129	424.469766	0.237023
0.170000	8.426878	383.223362	0.247625	-11.189612	423.801856	0.237199
0.180000	8.419215	383.722994	0.247662	-11.031980	423.020990	0.237382
0.190000	8.483594	384.191177	0.247776	-10.874413	422.153613	0.237582
0.200000	8.612457	384.668827	0.247953	-10.724654	421.252548	0.237806
0.210000	8.778884	385.185148	0.248165	-10.588736	420.390172	0.238057
0.220000	8.943867	385.741102	0.248377	-10.469679	419.638471	0.238327
0.230000	9.068045	386.307214	0.248558	-10.367604	419.045618	0.238599
0.240000	9.123878	386.837224	0.248690	-10.280402	418.621987	0.238855
0.250000	9.104264	387.290175	0.248778	-10.204066	418.343535	0.239084
0.260000	9.024628	387.648316	0.248845	-10.132839	418.169975	0.239288
0.270000	8.917519	387.920332	0.248920	-10.060094	418.065955	0.239485
0.280000	8.821362	388.128117	0.249034	-9.980379	418.012058	0.239701
0.290000	8.767555	388.285759	0.249208	-9.891666	418.000360	0.239961
0.300000	8.771139	388.384876	0.249445	-9.796140	418.021152	0.240278
0.310000	8.828683	388.396779	0.249736	-9.698587	418.054200	0.240649
0.320000	8.923338	388.290972	0.250061	-9.603294	418.073977	0.241052
0.330000	9.033444	388.058150	0.250400	-9.511652	418.066442	0.241459
0.340000	9.140097	387.722101	0.250731	-9.422411	418.044494	0.241839
0.350000	9.230923	387.331768	0.251035	-9.334793	418.048934	0.242168
0.360000	9.300367	386.937870	0.251289	-9.252595	418.131980	0.242426
0.370000	9.348516	386.568830	0.251475	-9.186241	418.332980	0.242602
0.380000	9.379977	386.221091	0.251576	-9.150485	418.661281	0.242689
0.390000	9.402665	385.869036	0.251591	-9.157878	419.095635	0.242685
0.400000	9.425475	385.486847	0.251535	-9.211239	419.598326	0.242593
0.410000	9.454614	385.067500	0.251438	-9.299777	420.133744	0.242424
0.420000	9.490138	384.627235	0.251338	-9.401998	420.680506	0.242199
0.430000	9.525179	384.194369	0.251263	-9.494316	421.232079	0.241944
0.440000	9.549215	383.791603	0.251231	-9.560421	421.788185	0.241696
0.450000	9.554108	383.423910	0.251240	-9.595812	422.343723	0.241492
0.460000	9.539348	383.078443	0.251281	-9.605080	422.882120	0.241372
0.470000	9.513054	382.733962	0.251343	-9.594252	423.376817	0.241365
0.480000	9.487886	382.372163	0.251420	-9.563577	423.800194	0.241489
0.490000	9.474454	381.984754	0.251517	-9.505754	424.135796	0.241746
0.500000	9.476407	381.574927	0.251640	-9.411096	424.388585	0.242119
0.510000	9.490135	381.155098	0.251796	-9.276621	424.588900	0.242576
0.520000	9.508691	380.742903	0.251982	-9.113322	424.788101	0.243073
0.530000	9.526725	380.355888	0.252187	-8.946606	425.046701	0.243561
0.540000	9.542917	380.004695	0.252391	-8.808741	425.418545	0.243995
0.550000	9.558631	379.685727	0.252574	-8.726673	425.936039	0.244338
0.560000	9.574612	379.376516	0.252719	-8.710862	426.600955	0.244573
0.570000	9.588970	379.038335	0.252816	-8.749992	427.383286	0.244705
0.580000	9.598361	378.628601	0.252864	-8.813593	428.228019	0.244759
0.590000	9.601373	378.119854	0.252870	-8.861657	429.067486	0.244777
0.600000	9.600981	377.515923	0.252849	-8.858320	429.835610	0.244801
0.610000	9.603542	376.854680	0.252818	-8.785157	430.480475	0.244863
0.620000	9.614614	376.193238	0.252793	-8.648994	430.973117	0.244976
0.630000	9.634601	375.582195	0.252782	-8.480232	431.312070	0.245128
0.640000	9.657549	375.043316	0.252788	-8.321566	431.523707	0.245291
0.650000	9.674114	374.563998	0.252807	-8.211946	431.657854	0.245426
0.660000	9.676585	374.112119	0.252829	-8.173445	431.777904	0.245497
0.670000	9.662429	373.662368	0.252845	-8.206839	431.946105	0.245482
0.680000	9.634142	373.218253	0.252846	-8.296431	432.207308	0.245371
0.690000	9.596102	372.816930	0.252827	-8.419649	432.576545	0.245171
0.700000	9.551288	372.514179	0.252785	-8.555625	433.035241	0.244901
0.710000	9.500422	372.357366	0.252717	-8.689389	433.537509	0.244590
0.720000	9.443892	372.359543	0.252622	-8.811932	434.023655	0.244271
0.730000	9.384586	372.487091	0.252501	-8.918316	434.435516	0.243978
0.740000	9.329293	372.667652	0.252362	-9.005620	434.728818	0.243737
