time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-5.402779	392.025099	0.200020	4.209040	299.581799	0.208780
0.010000	-5.313646	392.676791	0.200090	4.416031	298.663894	0.208678
0.020000	-5.228989	393.298018	0.200164	4.575426	297.785567	0.208612
0.030000	-5.152376	393.867392	0.200245	4.656919	296.972019	0.208607
0.040000	-5.085423	394.376375	0.200334	4.659391	296.230880	0.208661
0.050000	-5.027351	394.830454	0.200434	4.612199	295.558665	0.208758
0.060000	-4.975600	395.245719	0.200541	4.564386	294.949887	0.208875
0.070000	-4.927476	395.642035	0.200653	4.564737	294.400268	0.208994
0.080000	-4.882108	396.035905	0.200761	4.640324	293.902661	0.209104
0.090000	-4.841499	396.436722	0.200857	4.783275	293.441989	0.209200
0.100000	-4.809942	396.848072	0.200937	4.952918	292.996474	0.209277
0.110000	-4.792022	397.272068	0.200999	5.093553	292.546361	0.209332
0.120000	-4.790288	397.712243	0.201050	5.159929	292.084350	0.209361
0.130000	-4.803779	398.171981	0.201097	5.137921	291.620045	0.209368
0.140000	-4.827973	398.649603	0.201148	5.049934	291.174985	0.209362
0.150000	-4.855954	399.134379	0.201202	4.942675	290.771440	0.209350
0.160000	-4.880160	399.607000	0.201254	4.864290	290.422137	0.209340
0.170000	-4.894078	400.044789	0.201297	4.842928	290.126812	0.209330
0.180000	-4.893449	400.429028	0.201324	4.876828	289.876406	0.209310
0.190000	-4.876849	400.751071	0.201335	4.938970	289.660786	0.209275
0.200000	-4.845751	401.014636	0.201336	4.991947	289.474478	0.209223
0.210000	-4.804324	401.232950	0.201336	5.005031	289.317693	0.209162
0.220000	-4.759030	401.421210	0.201347	4.966346	289.193894	0.209106
0.230000	-4.717652	401.587361	0.201377	4.886395	289.107049	0.209065
0.240000	-4.687332	401.726151	0.201427	4.792605	289.060437	0.209046
0.250000	-4.671740	401.820875	0.201489	4.717126	289.056297	0.209044
0.260000	-4.668573	401.853242	0.201557	4.682355	289.094514	0.209048
0.270000	-4.669116	401.816235	0.201624	4.690225	289.169932	0.209044
0.280000	-4.660876	401.721559	0.201692	4.720821	289.270299	0.209023
0.290000	-4.632541	401.595420	0.201768	4.742098	289.377769	0.208981
