time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-3.493608	424.887413	0.266470	3.424183	488.888122	0.270340
0.010000	-3.502177	424.361758	0.266422	3.338104	489.038624	0.270293
0.020000	-3.507382	423.869447	0.266386	3.274820	489.163620	0.270256
0.030000	-3.506359	423.439194	0.266372	3.247740	489.241069	0.270236
0.040000	-3.496935	423.090782	0.266386	3.256223	489.258384	0.270233
0.050000	-3.477479	422.831009	0.266427	3.287577	489.222064	0.270241
0.060000	-3.447070	422.653347	0.266490	3.324667	489.164152	0.270253
0.070000	-3.406367	422.542347	0.266561	3.355115	489.138187	0.270262
0.080000	-3.358683	422.480263	0.266626	3.377120	489.202463	0.270263
0.090000	-3.310173	422.451598	0.266674	3.398658	489.396631	0.270258
0.100000	-3.268333	422.443276	0.266698	3.430522	489.723320	0.270249
0.110000	-3.239224	422.441870	0.266699	3.477592	490.145032	0.270241
0.120000	-3.224947	422.431362	0.266679	3.534173	490.598502	0.270240
0.130000	-3.222997	422.393962	0.266646	3.586674	491.019005	0.270245
0.140000	-3.227962	422.313957	0.266606	3.621713	491.362113	0.270256
0.150000	-3.234535	422.182735	0.266565	3.633748	491.613337	0.270268
0.160000	-3.240006	422.002664	0.266527	3.626928	491.784491	0.270271
0.170000	-3.245009	421.787888	0.266493	3.610506	491.902853	0.270261
0.180000	-3.252687	421.560882	0.266463	3.591779	492.000440	0.270233
0.190000	-3.267472	421.345286	0.266436	3.571590	492.106509	0.270189
0.200000	-3.294409	421.157766	0.266410	3.544727	492.242028	0.270134
0.210000	-3.338696	421.003021	0.266384	3.504077	492.414608	0.270077
0.220000	-3.404322	420.874664	0.266355	3.445651	492.615366	0.270025
0.230000	-3.491347	420.760838	0.266319	3.372061	492.821068	0.269984
0.240000	-3.593118	420.650011	0.266273	3.293198	493.002630	0.269956
0.250000	-3.695829	420.532660	0.266214	3.223773	493.136537	0.269941
0.260000	-3.781964	420.398732	0.266146	3.178204	493.213376	0.269934
0.270000	-3.836779	420.235395	0.266073	3.164505	493.239684	0.269926
0.280000	-3.854724	420.030160	0.266003	3.179998	493.233719	0.269911
0.290000	-3.842310	419.779766	0.265941	3.211551	493.218877	0.269882
0.300000	-3.815627	419.499122	0.265888	3.241101	493.218264	0.269836
0.310000	-3.793500	419.222479	0.265840	3.254082	493.251447	0.269774
0.320000	-3.789464	418.993126	0.265790	3.246163	493.332354	0.269704
0.330000	-3.806318	418.845334	0.265729	3.224290	493.467287	0.269637
0.340000	-3.835742	418.787688	0.265653	3.201388	493.653434	0.269580
0.350000	-3.863086	418.796936	0.265563	3.188115	493.879186	0.269541
0.360000	-3.875048	418.826362	0.265463	3.186772	494.126936	0.269519
0.370000	-3.866539	418.825396	0.265362	3.190812	494.377353	0.269511
0.380000	-3.843444	418.761123	0.265270	3.189710	494.613051	0.269507
0.390000	-3.820020	418.630794	0.265193	3.175851	494.820202	0.269501
0.400000	-3.812505	418.458680	0.265132	3.149297	494.988609	0.269487
0.410000	-3.832500	418.279381	0.265082	3.117916	495.112284	0.269462
0.420000	-3.883488	418.117924	0.265034	3.093296	495.191957	0.269427
0.430000	-3.961662	417.979097	0.264980	3.085176	495.238107	0.269385
0.440000	-4.059385	417.852224	0.264912	3.097451	495.270676	0.269341
0.450000	-4.168297	417.726688	0.264830	3.127096	495.312367	0.269303
