time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-2.296420	400.186660	0.193231	2.147274	290.459927	0.207010
0.010000	-2.278509	399.848062	0.193184	2.137238	290.272052	0.207129
0.020000	-2.255816	399.562376	0.193140	2.144279	290.088513	0.207222
0.030000	-2.226823	399.371754	0.193107	2.177814	289.917365	0.207272
0.040000	-2.194739	399.297993	0.193094	2.236030	289.773339	0.207278
0.050000	-2.166059	399.339464	0.193110	2.306434	289.675143	0.207256
0.060000	-2.147110	399.473042	0.193162	2.370968	289.637567	0.207230
0.070000	-2.140520	399.660356	0.193247	2.413682	289.661549	0.207226
0.080000	-2.143491	399.858138	0.193351	2.427565	289.728063	0.207257
0.090000	-2.148689	400.031454	0.193454	2.417007	289.800670	0.207322
0.100000	-2.147211	400.165974	0.193535	2.394157	289.836567	0.207408
0.110000	-2.132179	400.273532	0.193582	2.370914	289.800833	0.207492
0.120000	-2.101357	400.386786	0.193599	2.351427	289.677078	0.207558
0.130000	-2.057758	400.544113	0.193607	2.330318	289.470532	0.207595
0.140000	-2.008058	400.771524	0.193634	2.298370	289.203703	0.207601
0.150000	-1.959518	401.070490	0.193705	2.252211	288.907502	0.207580
0.160000	-1.916713	401.417357	0.193835	2.201224	288.611405	0.207542
0.170000	-1.879399	401.773773	0.194020	2.166171	288.335925	0.207499
0.180000	-1.842414	402.102165	0.194245	2.169239	288.089503	0.207465
0.190000	-1.797756	402.378664	0.194485	2.220943	287.870317	0.207451
0.200000	-1.738090	402.598082	0.194718	2.311677	287.671559	0.207463
0.210000	-1.660365	402.769847	0.194925	2.413253	287.487481	0.207502
0.220000	-1.568078	402.908287	0.195095	2.490160	287.317513	0.207562
0.230000	-1.471150	403.023467	0.195223	2.515058	287.166865	0.207632
0.240000	-1.383182	403.118405	0.195307	2.480848	287.043834	0.207704
0.250000	-1.316916	403.194205	0.195350	2.403488	286.955417	0.207771
0.260000	-1.279541	403.258618	0.195358	2.314399	286.903372	0.207831
0.270000	-1.269931	403.330140	0.195344	2.246388	286.882110	0.207889
0.280000	-1.279322	403.432363	0.195320	2.220014	286.878485	0.207951
0.290000	-1.295449	403.580715	0.195294	2.236763	286.872745	0.208021
0.300000	-1.308361	403.770543	0.195267	2.281575	286.840330	0.208101
0.310000	-1.315018	403.976084	0.195235	2.332461	286.755290	0.208186
0.320000	-1.320256	404.163242	0.195186	2.371583	286.596183	0.208264
0.330000	-1.333592	404.309722	0.195114	2.392215	286.353654	0.208327
0.340000	-1.363575	404.420423	0.195020	2.399025	286.036364	0.208368
0.350000	-1.412742	404.528017	0.194914	2.402992	285.670983	0.208389
0.360000	-1.475876	404.677154	0.194814	2.414601	285.294104	0.208395
0.370000	-1.542506	404.900605	0.194734	2.438862	284.938512	0.208392
0.380000	-1.602200	405.200749	0.194679	2.473992	284.620327	0.208378
0.390000	-1.649609	405.546922	0.194642	2.513557	284.333961	0.208345
0.400000	-1.686266	405.890012	0.194610	2.550534	284.057699	0.208285
0.410000	-1.717989	406.186153	0.194565	2.581008	283.766605	0.208195
0.420000	-1.749473	406.417029	0.194498	2.605519	283.445788	0.208079
0.430000	-1.779682	406.597180	0.194412	2.627339	283.097986	0.207951
0.440000	-1.801443	406.766063	0.194315	2.648765	282.743206	0.207830
0.450000	-1.806099	406.969925	0.194221	2.667766	282.411283	0.207733
0.460000	-1.790604	407.242394	0.194140	2.677187	282.129666	0.207675
0.470000	-1.762420	407.592061	0.194075	2.667302	281.909980	0.207659
0.480000	-1.738580	408.001203	0.194019	2.630925	281.738852	0.207679
0.490000	-1.738664	408.434591	0.193963	2.568968	281.578964	0.207716
0.500000	-1.775163	408.853134	0.193897	2.493612	281.382561	0.207743
0.510000	-1.846454	409.226156	0.193813	2.426422	281.112671	0.207731
0.520000	-1.936389	409.538327	0.193707	2.390698	280.761454	0.207664
0.530000	-2.021060	409.791120	0.193579	2.400827	280.355466	0.207547
0.540000	-2.079387	410.001008	0.193436	2.454291	279.944423	0.207404
0.550000	-2.102124	410.196003	0.193289	2.531432	279.578963	0.207269
0.560000	-2.094794	410.409816	0.193151	2.603659	279.288324	0.207165
0.570000	-2.073472	410.672192	0.193034	2.645610	279.068211	0.207094
0.580000	-2.056202	410.996459	0.192947	2.644720	278.883981	0.207034
0.590000	-2.054782	411.369521	0.192886	2.603913	278.687608	0.206953
0.600000	-2.070946	411.751475	0.192837	2.537514	278.441072	0.206823
0.610000	-2.098107	412.088831	0.192781	2.463614	278.135628	0.206639
0.620000	-2.126899	412.337824	0.192700	2.396756	277.797557	0.206417
0.630000	-2.151125	412.486880	0.192589	2.343677	277.477099	0.206187
0.640000	-2.171126	412.565346	0.192455	2.303222	277.225653	0.205980
0.650000	-2.193156	412.631484	0.192318	2.269875	277.072349	0.205814
0.660000	-2.225335	412.744266	0.192198	2.238768	277.011378	0.205685
0.670000	-2.272267	412.933576	0.192107	2.209157	277.005942	0.205576
0.680000	-2.331230	413.185414	0.192041	2.184181	277.006373	0.205458
0.690000	-2.392374	413.450145	0.191982	2.167146	276.972877	0.205301
0.700000	-2.443376	413.668250	0.191906	2.156979	276.891228	0.205090
0.710000	-2.476287	413.798182	0.191793	2.146281	276.774016	0.204825
0.720000	-2.492583	413.831410	0.191638	2.123897	276.648428	0.204528
0.730000	-2.503111	413.789320	0.191450	2.081080	276.538872	0.204232
0.740000	-2.522607	413.707949	0.191245	2.017812	276.454666	0.203967
0.750000	-2.561818	413.622017	0.191044	1.945181	276.388977	0.203754
0.760000	-2.621704	413.556740	0.190861	1.881529	276.328141	0.203591
