time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-0.698257	321.965426	0.228209	1.915801	324.714666	0.231809
0.010000	-0.798502	322.576264	0.228530	1.931529	324.363404	0.232098
0.020000	-0.873367	323.174148	0.228821	1.949763	324.038672	0.232404
0.030000	-0.905724	323.736729	0.229063	1.976904	323.761654	0.232735
0.040000	-0.891740	324.232370	0.229250	2.022525	323.539542	0.233087
0.050000	-0.841652	324.630158	0.229392	2.093598	323.358100	0.233447
0.060000	-0.775561	324.916255	0.229511	2.188053	323.181106	0.233791
0.070000	-0.715726	325.106923	0.229629	2.292866	322.961567	0.234101
0.080000	-0.678449	325.248518	0.229765	2.388464	322.662925	0.234368
0.090000	-0.669101	325.400905	0.229924	2.456662	322.280860	0.234597
0.100000	-0.682489	325.610402	0.230098	2.487434	321.853360	0.234801
0.110000	-0.708132	325.885963	0.230265	2.481263	321.451167	0.234991
0.120000	-0.737382	326.192520	0.230394	2.446985	321.150799	0.235165
0.130000	-0.768397	326.467060	0.230464	2.397234	321.002510	0.235310
0.140000	-0.806342	326.650370	0.230463	2.343867	321.009066	0.235399
0.150000	-0.859073	326.718083	0.230403	2.294808	321.125474	0.235414
0.160000	-0.931120	326.694578	0.230310	2.252935	321.278367	0.235350
0.170000	-1.019566	326.642535	0.230220	2.217016	321.394540	0.235223
0.180000	-1.114108	326.633934	0.230164	2.183948	321.425975	0.235063
0.190000	-1.201023	326.717599	0.230162	2.150771	321.362638	0.234907
0.200000	-1.268634	326.899262	0.230215	2.115124	321.229938	0.234785
0.210000	-1.311251	327.142794	0.230310	2.074350	321.072652	0.234715
0.220000	-1.329745	327.390411	0.230427	2.025079	320.931763	0.234697
0.230000	-1.329031	327.590678	0.230546	1.964872	320.824402	0.234721
0.240000	-1.314518	327.720194	0.230654	1.895309	320.737249	0.234767
0.250000	-1.289893	327.788981	0.230744	1.823822	320.637825	0.234814
0.260000	-1.257391	327.828811	0.230820	1.761939	320.498034	0.234849
0.270000	-1.219722	327.873087	0.230889	1.720312	320.316034	0.234870
0.280000	-1.181656	327.940696	0.230964	1.703652	320.122217	0.234890
0.290000	-1.149632	328.032040	0.231056	1.708898	319.964048	0.234930
0.300000	-1.129485	328.136509	0.231171	1.727657	319.877869	0.235010
0.310000	-1.123900	328.243747	0.231311	1.751141	319.864710	0.235142
0.320000	-1.131442	328.350728	0.231472	1.774721	319.885275	0.235326
0.330000	-1.147703	328.461772	0.231647	1.799913	319.877639	0.235555
0.340000	-1.167471	328.584237	0.231826	1.833073	319.787459	0.235817
0.350000	-1.186224	328.724376	0.232001	1.881397	319.593632	0.236102
0.360000	-1.200229	328.885550	0.232168	1.947858	319.316077	0.236403
0.370000	-1.205942	329.067730	0.232326	2.027280	319.003488	0.236719
