time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-2.920866	368.424173	0.204839	3.356951	275.082184	0.218779
0.010000	-2.907896	368.457676	0.204511	3.062037	275.427484	0.218753
0.020000	-2.913287	368.498930	0.204229	2.821556	275.681184	0.218713
0.030000	-2.946963	368.551920	0.204019	2.668813	275.794129	0.218649
0.040000	-3.006356	368.616409	0.203884	2.604922	275.777799	0.218561
0.050000	-3.079138	368.691661	0.203803	2.601847	275.689341	0.218454
0.060000	-3.150284	368.781011	0.203746	2.617703	275.594306	0.218334
0.070000	-3.209041	368.892846	0.203683	2.616453	275.530197	0.218205
0.080000	-3.252305	369.036021	0.203600	2.582271	275.491421	0.218064
0.090000	-3.283739	369.212116	0.203495	2.521985	275.441574	0.217907
0.100000	-3.310434	369.409949	0.203373	2.455810	275.342362	0.217731
0.110000	-3.339520	369.606854	0.203240	2.403125	275.179965	0.217539
0.120000	-3.376116	369.776780	0.203097	2.372201	274.973382	0.217337
0.130000	-3.422710	369.900569	0.202943	2.359311	274.761778	0.217131
0.140000	-3.479332	369.972468	0.202771	2.356014	274.580689	0.216925
0.150000	-3.543896	370.000160	0.202578	2.358309	274.442664	0.216720
0.160000	-3.612493	370.000452	0.202368	2.370741	274.333741	0.216512
0.170000	-3.679838	369.994894	0.202150	2.402458	274.226567	0.216298
0.180000	-3.740292	370.007315	0.201939	2.457862	274.100826	0.216073
0.190000	-3.789595	370.061349	0.201753	2.528377	273.957935	0.215843
0.200000	-3.826806	370.174716	0.201600	2.591517	273.821248	0.215619
0.210000	-3.855411	370.350403	0.201480	2.619081	273.722122	0.215422
0.220000	-3.882630	370.569906	0.201383	2.590641	273.680531	0.215270
0.230000	-3.916755	370.795360	0.201295	2.505018	273.691887	0.215171
0.240000	-3.963423	370.982705	0.201201	2.383357	273.727913	0.215117
0.250000	-4.022446	371.100112	0.201099	2.261875	273.751116	0.215086
0.260000	-4.086893	371.141397	0.200991	2.177581	273.734446	0.215050
0.270000	-4.145360	371.126947	0.200887	2.153542	273.674698	0.214986
0.280000	-4.186864	371.092368	0.200797	2.190160	273.592180	0.214886
0.290000	-4.206196	371.071746	0.200725	2.266034	273.517506	0.214757
0.300000	-4.206720	371.084404	0.200672	2.347734	273.473809	0.214618
0.310000	-4.198657	371.131328	0.200629	2.404020	273.464412	0.214494
0.320000	-4.193508	371.201905	0.200588	2.418346	273.471727	0.214404
0.330000	-4.197857	371.285650	0.200542	2.394579	273.466459	0.214357
0.340000	-4.210478	371.380483	0.200488	2.354033	273.421616	0.214347
0.350000	-4.224574	371.491470	0.200430	2.325458	273.324834	0.214356
0.360000	-4.233565	371.621259	0.200374	2.332150	273.184040	0.214361
0.370000	-4.236475	371.760388	0.200325	2.381302	273.023888	0.214344
0.380000	-4.239343	371.886436	0.200280	2.460141	272.874052	0.214297
0.390000	-4.251881	371.974268	0.200229	2.541068	272.754951	0.214223
0.400000	-4.281743	372.010777	0.200157	2.594127	272.669087	0.214134
0.410000	-4.330032	372.003746	0.200057	2.601020	272.603520	0.214042
0.420000	-4.390549	371.978706	0.199932	2.563210	272.541711	0.213954
0.430000	-4.452800	371.965998	0.199803	2.499524	272.476455	0.213877
0.440000	-4.506726	371.986065	0.199698	2.434756	272.415253	0.213815
0.450000	-4.546513	372.040897	0.199643	2.386250	272.375251	0.213772
0.460000	-4.571786	372.114831	0.199654	2.356391	272.371856	0.213753
0.470000	-4.586037	372.182542	0.199729	2.334913	272.408435	0.213761
0.480000	-4.593554	372.219224	0.199855	2.308747	272.472908	0.213798
0.490000	-4.596613	372.208404	0.200010	2.272879	272.542725	0.213865
0.500000	-4.594299	372.145263	0.200175	2.235478	272.595211	0.213958
0.510000	-4.583326	372.035661	0.200335	2.214123	272.617691	0.214069
0.520000	-4.560146	371.892216	0.200483	2.225203	272.612145	0.214186
0.530000	-4.523147	371.729163	0.200619	2.272804	272.592515	0.214297
0.540000	-4.473794	371.558062	0.200740	2.344093	272.577169	0.214392
0.550000	-4.416280	371.386390	0.200845	2.414657	272.581652	0.214468
0.560000	-4.356021	371.219772	0.200932	2.461218	272.615998	0.214531
0.570000	-4.297912	371.065972	0.201001	2.474484	272.687134	0.214595
0.580000	-4.245154	370.936681	0.201054	2.464628	272.802866	0.214677
0.590000	-4.199002	370.843965	0.201096	2.456031	272.972558	0.214786
0.600000	-4.159210	370.792634	0.201130	2.473893	273.202051	0.214926
