time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-1.369283	310.877718	0.221130	1.739808	234.889550	0.220780
0.010000	-1.399147	310.696235	0.220975	1.621347	234.896434	0.220548
0.020000	-1.425126	310.525022	0.220834	1.523408	234.843956	0.220353
0.030000	-1.445258	310.378250	0.220719	1.459056	234.702869	0.220218
0.040000	-1.459592	310.273561	0.220635	1.430156	234.487958	0.220144
0.050000	-1.469180	310.225791	0.220585	1.429654	234.248672	0.220115
0.060000	-1.474443	310.237774	0.220560	1.447059	234.044667	0.220107
0.070000	-1.474086	310.294016	0.220550	1.473504	233.921069	0.220102
0.080000	-1.465335	310.362095	0.220543	1.504384	233.895077	0.220094
0.090000	-1.445574	310.402576	0.220534	1.539776	233.956353	0.220091
0.100000	-1.414704	310.383532	0.220527	1.583507	234.075962	0.220105
0.110000	-1.377084	310.293458	0.220529	1.641210	234.216995	0.220147
0.120000	-1.341821	310.147505	0.220547	1.717248	234.343257	0.220215
0.130000	-1.320623	309.985218	0.220580	1.811111	234.425980	0.220296
0.140000	-1.323531	309.860611	0.220617	1.914912	234.449189	0.220369
0.150000	-1.354218	309.826566	0.220644	2.013613	234.412690	0.220415
0.160000	-1.407312	309.916357	0.220652	2.088456	234.330747	0.220421
0.170000	-1.469566	310.127179	0.220638	2.122438	234.226284	0.220394
0.180000	-1.524566	310.412876	0.220613	2.105864	234.123265	0.220351
0.190000	-1.558446	310.692367	0.220595	2.040069	234.040994	0.220316
0.200000	-1.563653	310.874505	0.220600	1.938017	233.992156	0.220312
0.210000	-1.539503	310.891383	0.220638	1.821191	233.983381	0.220349
0.220000	-1.490748	310.725726	0.220710	1.713249	234.015603	0.220425
0.230000	-1.426145	310.418856	0.220807	1.632253	234.082908	0.220526
0.240000	-1.357725	310.054621	0.220918	1.584668	234.171476	0.220629
0.250000	-1.299580	309.727017	0.221025	1.564326	234.261652	0.220711
0.260000	-1.264798	309.507712	0.221110	1.557498	234.334274	0.220753
0.270000	-1.260986	309.428698	0.221159	1.551664	234.378300	0.220749
0.280000	-1.286821	309.485309	0.221164	1.542937	234.394255	0.220706
0.290000	-1.332192	309.652464	0.221125	1.537566	234.389988	0.220643
