time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	1.561388	329.625406	0.238949	0.808652	317.929193	0.242960
0.010000	1.613351	329.312985	0.239126	0.884572	318.609767	0.242884
0.020000	1.659682	328.972571	0.239287	0.929354	319.187915	0.242820
0.030000	1.697482	328.599361	0.239421	0.924441	319.593624	0.242774
0.040000	1.727570	328.219674	0.239519	0.869950	319.809170	0.242750
0.050000	1.753404	327.883099	0.239579	0.781928	319.866784	0.242743
0.060000	1.778283	327.639906	0.239602	0.683093	319.829140	0.242738
0.070000	1.802437	327.515586	0.239590	0.592718	319.763501	0.242708
0.080000	1.821956	327.497391	0.239541	0.520793	319.720568	0.242627
0.090000	1.830605	327.541608	0.239452	0.468215	319.724091	0.242476
0.100000	1.823693	327.598239	0.239322	0.430998	319.771008	0.242253
0.110000	1.801616	327.639473	0.239151	0.404890	319.837819	0.241978
0.120000	1.770757	327.676260	0.238947	0.387820	319.888652	0.241686
0.130000	1.740965	327.754007	0.238723	0.379789	319.882957	0.241417
0.140000	1.720869	327.929336	0.238496	0.381245	319.783608	0.241201
0.150000	1.713363	328.239501	0.238278	0.390992	319.566722	0.241051
0.160000	1.713481	328.679999	0.238071	0.404307	319.231983	0.240960
0.170000	1.709682	329.202189	0.237870	0.412173	318.808600	0.240901
0.180000	1.687967	329.732445	0.237661	0.403036	318.350932	0.240843
0.190000	1.636925	330.202721	0.237427	0.367752	317.921954	0.240759
0.200000	1.551366	330.576323	0.237156	0.305953	317.570359	0.240632
0.210000	1.433079	330.856186	0.236842	0.229799	317.312758	0.240457
0.220000	1.288914	331.073665	0.236486	0.161565	317.130867	0.240243
0.230000	1.127807	331.266759	0.236094	0.124960	316.984705	0.240009
0.240000	0.958527	331.461105	0.235673	0.134164	316.832892	0.239775
0.250000	0.788949	331.663261	0.235236	0.186250	316.647708	0.239557
0.260000	0.626338	331.867057	0.234794	0.260928	316.418109	0.239363
0.270000	0.477572	332.066161	0.234360	0.327798	316.143318	0.239189
0.280000	0.348563	332.263841	0.233945	0.357727	315.825634	0.239023
0.290000	0.243042	332.474554	0.233555	0.333352	315.469356	0.238850
0.300000	0.161411	332.718023	0.233197	0.254559	315.085474	0.238663
0.310000	0.100399	333.010484	0.232875	0.137318	314.695193	0.238465
0.320000	0.053757	333.357959	0.232595	0.007213	314.325081	0.238267
0.330000	0.013847	333.753696	0.232357	-0.109243	313.993426	0.238087
0.340000	-0.026233	334.179296	0.232160	-0.192269	313.695868	0.237935
0.350000	-0.070408	334.608122	0.231994	-0.233403	313.401350	0.237815
0.360000	-0.118036	335.010254	0.231842	-0.236340	313.063907	0.237716
0.370000	-0.163983	335.359054	0.231691	-0.214398	312.645347	0.237623
0.380000	-0.201016	335.639298	0.231530	-0.185605	312.136228	0.237521
0.390000	-0.224011	335.855745	0.231358	-0.166919	311.563007	0.237397
0.400000	-0.234079	336.039270	0.231181	-0.169296	310.977367	0.237251
0.410000	-0.240081	336.246293	0.231005	-0.194952	310.434079	0.237090
0.420000	-0.256017	336.547724	0.230837	-0.237313	309.969574	0.236929
0.430000	-0.295033	337.007320	0.230677	-0.283316	309.591390	0.236781
0.440000	-0.363103	337.655532	0.230517	-0.317356	309.280978	0.236662
0.450000	-0.456007	338.470286	0.230341	-0.326084	309.004670	0.236578
0.460000	-0.561341	339.376379	0.230128	-0.302895	308.724876	0.236533
0.470000	-0.664289	340.268256	0.229860	-0.250424	308.406469	0.236522
0.480000	-0.753674	341.049180	0.229528	-0.179473	308.018695	0.236537
0.490000	-0.825124	341.669106	0.229143	-0.104082	307.536480	0.236566
0.500000	-0.880368	342.141165	0.228729	-0.034712	306.944471	0.236601
0.510000	-0.924151	342.526394	0.228327	0.026984	306.243359	0.236636
0.520000	-0.961084	342.894460	0.227969	0.088791	305.454575	0.236669
0.530000	-0.993837	343.283386	0.227675	0.163507	304.619509	0.236699
0.540000	-1.022586	343.682369	0.227446	0.261887	303.792842	0.236726
0.550000	-1.044999	344.046735	0.227261	0.386512	303.033177	0.236745
0.560000	-1.056593	344.333001	0.227097	0.529076	302.394730	0.236750
0.570000	-1.051978	344.529730	0.226935	0.671718	301.921500	0.236734
0.580000	-1.027368	344.664319	0.226765	0.791698	301.642941	0.236691
0.590000	-0.983613	344.782721	0.226591	0.867979	301.569917	0.236618
0.600000	-0.928049	344.916143	0.226424	0.887499	301.691554	0.236514
0.610000	-0.873623	345.055538	0.226272	0.848590	301.975129	0.236380
0.620000	-0.835095	345.148775	0.226141	0.759913	302.370985	0.236215
0.630000	-0.823939	345.122235	0.226030	0.635621	302.822597	0.236020
0.640000	-0.844472	344.916043	0.225934	0.489561	303.279593	0.235797
0.650000	-0.893087	344.516124	0.225847	0.331547	303.709366	0.235554
0.660000	-0.960632	343.968085	0.225766	0.167102	304.102313	0.235303
0.670000	-1.036341	343.365848	0.225697	-0.000157	304.467945	0.235063
0.680000	-1.111279	342.818629	0.225644	-0.165571	304.823972	0.234846
0.690000	-1.180073	342.409306	0.225611	-0.321851	305.184700	0.234659
0.700000	-1.240797	342.161792	0.225597	-0.459592	305.554697	0.234496
0.710000	-1.293580	342.031915	0.225597	-0.569391	305.928958	0.234345
0.720000	-1.338653	341.926267	0.225604	-0.644504	306.296202	0.234194
0.730000	-1.374586	341.740935	0.225614	-0.683164	306.641774	0.234038
0.740000	-1.397538	341.403084	0.225631	-0.690238	306.950026	0.233884
0.750000	-1.402100	340.897278	0.225664	-0.677868	307.208583	0.233746
0.760000	-1.383532	340.265593	0.225727	-0.664281	307.415390	0.233642
0.770000	-1.340211	339.582775	0.225831	-0.669690	307.585474	0.233585
0.780000	-1.274755	338.919453	0.225983	-0.709185	307.752347	0.233579
0.790000	-1.193164	338.312056	0.226184	-0.784752	307.961277	0.233620
0.800000	-1.102654	337.754256	0.226426	-0.880690	308.256472	0.233698
0.810000	-1.009622	337.212846	0.226698	-0.966577	308.667595	0.233804
0.820000	-0.918579	336.657359	0.226982	-1.008477	309.200926	0.233932
0.830000	-0.831902	336.085089	0.227264	-0.983778	309.837864	0.234076
0.840000	-0.749796	335.526144	0.227533	-0.891859	310.540767	0.234237
0.850000	-0.670308	335.025070	0.227788	-0.754570	311.264245	0.234413
0.860000	-0.589717	334.609612	0.228036	-0.606348	311.968749	0.234600
0.870000	-0.503588	334.265488	0.228289	-0.479684	312.632276	0.234795
0.880000	-0.408139	333.933601	0.228557	-0.393566	313.256006	0.234992
0.890000	-0.301155	333.533945	0.228849	-0.349911	313.861072	0.235189
0.900000	-0.181890	333.004929	0.229167	-0.338099	314.476391	0.235388
0.910000	-0.050124	332.337096	0.229505	-0.343715	315.121006	0.235594
0.920000	0.094794	331.582442	0.229851	-0.356277	315.788136	0.235811
0.930000	0.254056	330.834010	0.230189	-0.372234	316.440149	0.236036
0.940000	0.428369	330.186928	0.230503	-0.392613	317.020893	0.236260
0.950000	0.616164	329.701407	0.230785	-0.417881	317.482904	0.236461
0.960000	0.811832	329.385428	0.231030	-0.444056	317.816175	0.236621
0.970000	1.004910	329.202685	0.231240	-0.462944	318.060602	0.236724
0.980000	1.181121	329.097787	0.231419	-0.466277	318.291509	0.236769
0.990000	1.325710	329.023225	0.231572	-0.450661	318.583490	0.236767
1.000000	1.428489	328.954335	0.231704	-0.419870	318.971570	0.236737
1.010000	1.488522	328.887181	0.231822	-0.383095	319.430751	0.236704
1.020000	1.515775	328.824565	0.231931	-0.350442	319.884404	0.236690
1.030000	1.528126	328.761340	0.232033	-0.328253	320.236299	0.236711
1.040000	1.544605	328.679149	0.232119	-0.316338	320.409866	0.236770
1.050000	1.578035	328.553729	0.232181	-0.308074	320.376729	0.236853
1.060000	1.630776	328.369656	0.232207	-0.293253	320.163653	0.236935
1.070000	1.695549	328.132992	0.232191	-0.262741	319.838023	0.236982
1.080000	1.760416	327.874108	0.232136	-0.213173	319.481192	0.236971
1.090000	1.814684	327.639283	0.232048	-0.149608	319.162600	0.236888
1.100000	1.852406	327.476102	0.231934	-0.084656	318.924669	0.236743
1.110000	1.872118	327.419861	0.231799	-0.034070	318.781538	0.236552
1.120000	1.874168	327.485586	0.231644	-0.010515	318.727437	0.236338
1.130000	1.858286	327.666014	0.231470	-0.018327	318.746389	0.236124
1.140000	1.823303	327.933903	0.231279	-0.051861	318.816182	0.235926
1.150000	1.768819	328.248054	0.231076	-0.098412	318.905693	0.235757
1.160000	1.697069	328.563495	0.230870	-0.144335	318.971620	0.235631
1.170000	1.613134	328.844719	0.230662	-0.181189	318.962887	0.235549
1.180000	1.523047	329.077754	0.230447	-0.208643	318.835911	0.235505
1.190000	1.430832	329.275541	0.230210	-0.232775	318.575018	0.235474
1.200000	1.336192	329.473571	0.229934	-0.261232	318.206431	0.235427
1.210000	1.234105	329.717206	0.229604	-0.298441	317.796068	0.235333
1.220000	1.116561	330.045244	0.229219	-0.343530	317.429843	0.235175
1.230000	0.975809	330.474785	0.228785	-0.391232	317.184609	0.234954
1.240000	0.807949	330.991532	0.228318	-0.434097	317.102237	0.234688
1.250000	0.615663	331.548513	0.227832	-0.464206	317.176666	0.234400
1.260000	0.409203	332.074701	0.227339	-0.474095	317.356838	0.234115
1.270000	0.205284	332.491926	0.226853	-0.457940	317.562185	0.233845
1.280000	0.024085	332.734923	0.226387	-0.413930	317.704645	0.233596
1.290000	-0.115183	332.767641	0.225963	-0.347378	317.711611	0.233366
1.300000	-0.199371	332.590837	0.225599	-0.272756	317.545291	0.233152
1.310000	-0.225801	332.240292	0.225309	-0.212550	317.214059	0.232952
1.320000	-0.204062	331.778502	0.225096	-0.192078	316.771474	0.232766
1.330000	-0.153616	331.283365	0.224951	-0.231474	316.300963	0.232598
1.340000	-0.097364	330.835806	0.224858	-0.337993	315.889551	0.232450
1.350000	-0.053722	330.506874	0.224797	-0.502208	315.600197	0.232321
1.360000	-0.031044	330.345353	0.224755	-0.700035	315.454702	0.232210
1.370000	-0.027149	330.368811	0.224716	-0.899557	315.434771	0.232113
1.380000	-0.033762	330.561771	0.224670	-1.069418	315.499137	0.232026
1.390000	-0.042851	330.882508	0.224609	-1.185586	315.605732	0.231946
1.400000	-0.051127	331.275923	0.224531	-1.235208	315.725985	0.231873
1.410000	-0.060538	331.686987	0.224439	-1.217991	315.845191	0.231802
1.420000	-0.075223	332.069810	0.224346	-1.145755	315.953111	0.231732
1.430000	-0.097253	332.390764	0.224266	-1.039959	316.034721	0.231660
1.440000	-0.123790	332.627416	0.224211	-0.926883	316.068437	0.231587
1.450000	-0.147302	332.766319	0.224185	-0.831244	316.032045	0.231520
1.460000	-0.158806	332.802050	0.224186	-0.770456	315.911506	0.231472
1.470000	-0.152610	332.738352	0.224207	-0.751831	315.707909	0.231459
1.480000	-0.130103	332.590510	0.224242	-0.773366	315.440464	0.231496
1.490000	-0.100409	332.386653	0.224288	-0.826611	315.145035	0.231590
1.500000	-0.077122	332.165702	0.224345	-0.899165	314.867743	0.231735
1.510000	-0.072281	331.971591	0.224415	-0.975440	314.654053	0.231917
1.520000	-0.090234	331.845927	0.224504	-1.036525	314.536153	0.232107
1.530000	-0.124377	331.821800	0.224613	-1.061538	314.523595	0.232277
1.540000	-0.158642	331.919641	0.224747	-1.032334	314.601412	0.232407
1.550000	-0.173504	332.144037	0.224908	-0.941000	314.736122	0.232490
1.560000	-0.154092	332.480588	0.225096	-0.796720	314.885744	0.232534
1.570000	-0.096600	332.894046	0.225307	-0.627270	315.008279	0.232557
1.580000	-0.009676	333.330836	0.225536	-0.472232	315.065272	0.232579
1.590000	0.090184	333.728324	0.225777	-0.369147	315.021712	0.232611
1.600000	0.186952	334.029990	0.226027	-0.338370	314.847408	0.232655
1.610000	0.272603	334.201806	0.226288	-0.374167	314.524684	0.232706
1.620000	0.349680	334.243158	0.226560	-0.447335	314.061890	0.232757
1.630000	0.427458	334.186933	0.226840	-0.518913	313.504869	0.232806
1.640000	0.513929	334.087867	0.227118	-0.558516	312.935293	0.232859
1.650000	0.608156	334.003785	0.227374	-0.558001	312.449865	0.232925
1.660000	0.697351	333.977919	0.227585	-0.533436	312.125909	0.233009
1.670000	0.760441	334.029811	0.227728	-0.514490	311.989356	0.233106
1.680000	0.776523	334.157303	0.227790	-0.527068	312.002792	0.233199
1.690000	0.734201	334.345847	0.227769	-0.578436	312.082363	0.233264
1.700000	0.637465	334.578078	0.227681	-0.652701	312.137385	0.233281
1.710000	0.505539	334.838373	0.227548	-0.718918	312.113813	0.233242
1.720000	0.366855	335.112126	0.227399	-0.747446	312.019266	0.233156
1.730000	0.249771	335.383245	0.227254	-0.725919	311.915923	0.233050
1.740000	0.173720	335.633381	0.227128	-0.666517	311.884544	0.232956
1.750000	0.144016	335.843642	0.227027	-0.600945	311.978835	0.232899
1.760000	0.151875	335.997016	0.226955	-0.565819	312.194743	0.232887
1.770000	0.179107	336.079616	0.226913	-0.585819	312.470693	0.232911
1.780000	0.205352	336.080726	0.226899	-0.662690	312.717491	0.232954
1.790000	0.215123	335.993644	0.226904	-0.774842	312.861007	0.232995
1.800000	0.202349	335.819456	0.226909	-0.886837	312.875210	0.233026
1.810000	0.171249	335.573479	0.226890	-0.963360	312.789682	0.233049
1.820000	0.133528	335.290651	0.226824	-0.980869	312.669883	0.233076
1.830000	0.103099	335.024341	0.226702	-0.932395	312.582329	0.233116
1.840000	0.090391	334.835045	0.226535	-0.825355	312.563329	0.233175
1.850000	0.098596	334.770747	0.226354	-0.675879	312.606245	0.233245
1.860000	0.123409	334.846395	0.226196	-0.503943	312.671080	0.233314
1.870000	0.156157	335.032495	0.226095	-0.331443	312.708382	0.233368
1.880000	0.188498	335.260282	0.226064	-0.182146	312.683435	0.233398
1.890000	0.216075	335.443738	0.226095	-0.080617	312.589034	0.233407
1.900000	0.239174	335.510331	0.226163	-0.048048	312.443258	0.233403
1.910000	0.260119	335.427356	0.226233	-0.095587	312.277001	0.233395
1.920000	0.279080	335.212779	0.226281	-0.218320	312.119827	0.233393
1.930000	0.291029	334.927200	0.226298	-0.393644	311.990788	0.233399
1.940000	0.286171	334.652048	0.226293	-0.585918	311.896066	0.233411
1.950000	0.254250	334.463384	0.226285	-0.756222	311.831518	0.233423
1.960000	0.190777	334.410014	0.226295	-0.873424	311.787485	0.233424
1.970000	0.101914	334.501459	0.226334	-0.922106	311.754246	0.233407
1.980000	0.005238	334.707970	0.226397	-0.904589	311.727018	0.233370
1.990000	-0.074461	334.971974	0.226473	-0.837289	311.708625	0.233322
2.000000	-0.112902	335.227653	0.226544	-0.743965	311.707333	0.233280
2.010000	-0.094567	335.422956	0.226603	-0.648739	311.729192	0.233265
2.020000	-0.018255	335.536689	0.226658	-0.570443	311.768706	0.233290
2.030000	0.102200	335.583518	0.226725	-0.518685	311.805597	0.233359
2.040000	0.242338	335.603289	0.226827	-0.491923	311.813874	0.233460
2.050000	0.375011	335.638085	0.226975	-0.478342	311.781097	0.233573
2.060000	0.478990	335.707727	0.227161	-0.459925	311.725739	0.233679
2.070000	0.545111	335.796864	0.227357	-0.418803	311.697861	0.233769
2.080000	0.577734	335.861333	0.227528	-0.343790	311.757191	0.233842
2.090000	0.591078	335.850794	0.227646	-0.234972	311.938248	0.233906
2.100000	0.602043	335.735671	0.227707	-0.105116	312.223118	0.233966
2.110000	0.622581	335.524752	0.227725	0.022531	312.540421	0.234022
2.120000	0.654819	335.265539	0.227725	0.120117	312.794510	0.234068
2.130000	0.690991	335.027819	0.227723	0.163909	312.910713	0.234096
2.140000	0.718026	334.877281	0.227721	0.143505	312.871733	0.234098
2.150000	0.724530	334.848837	0.227703	0.067564	312.724420	0.234074
2.160000	0.706746	334.929594	0.227653	-0.037531	312.553396	0.234028
2.170000	0.670608	335.059306	0.227562	-0.136652	312.437906	0.233965
2.180000	0.628896	335.150707	0.227440	-0.199042	312.417468	0.233893
2.190000	0.594855	335.123568	0.227305	-0.209581	312.484238	0.233817
2.200000	0.575388	334.938554	0.227175	-0.173228	312.601606	0.233739
2.210000	0.567311	334.615163	0.227056	-0.111282	312.732852	0.233661
2.220000	0.558691	334.224807	0.226941	-0.052066	312.860853	0.233583
2.230000	0.534772	333.862307	0.226814	-0.020629	312.989369	0.233504
2.240000	0.485457	333.609648	0.226661	-0.031614	313.129719	0.233421
2.250000	0.410463	333.508496	0.226475	-0.087220	313.284907	0.233327
2.260000	0.319472	333.551687	0.226261	-0.179692	313.442775	0.233218
2.270000	0.227197	333.693147	0.226030	-0.296130	313.582485	0.233095
2.280000	0.145866	333.867663	0.225791	-0.423108	313.689519	0.232963
2.290000	0.078993	334.010452	0.225549	-0.549386	313.768645	0.232830
2.300000	0.019775	334.070742	0.225303	-0.666245	313.845528	0.232703
2.310000	-0.044705	334.019026	0.225051	-0.766245	313.955068	0.232584
2.320000	-0.125381	333.850352	0.224799	-0.842056	314.123325	0.232470
2.330000	-0.223552	333.584861	0.224559	-0.886965	314.354151	0.232359
2.340000	-0.328257	333.263966	0.224349	-0.897527	314.628435	0.232250
2.350000	-0.420580	332.939680	0.224189	-0.876928	314.915583	0.232153
2.360000	-0.482611	332.657832	0.224086	-0.836363	315.189356	0.232080
2.370000	-0.505995	332.441458	0.224037	-0.792316	315.438567	0.232040
2.380000	-0.495469	332.283587	0.224030	-0.760293	315.667789	0.232037
2.390000	-0.465984	332.154757	0.224050	-0.748438	315.890013	0.232064
2.400000	-0.435520	332.021489	0.224086	-0.755116	316.117187	0.232116
2.410000	-0.417324	331.864387	0.224138	-0.771903	316.353922	0.232188
2.420000	-0.414877	331.685027	0.224213	-0.789524	316.596091	0.232284
2.430000	-0.421236	331.499079	0.224322	-0.802193	316.832881	0.232403
2.440000	-0.422658	331.322519	0.224472	-0.807529	317.050164	0.232541
2.450000	-0.404862	331.161221	0.224668	-0.803181	317.234244	0.232685
2.460000	-0.359270	331.010204	0.224909	-0.784131	317.376038	0.232821
2.470000	-0.286399	330.861420	0.225192	-0.743949	317.475194	0.232944
2.480000	-0.194703	330.713725	0.225511	-0.679705	317.541967	0.233062
2.490000	-0.095439	330.578168	0.225859	-0.596743	317.594205	0.233199
2.500000	0.003528	330.475178	0.226234	-0.509018	317.648908	0.233379
