time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	1.206797	410.688653	0.202001	-1.894605	329.843613	0.213830
0.010000	1.417864	409.545766	0.202261	-1.939252	330.410785	0.213854
0.020000	1.612624	408.419151	0.202524	-1.981635	331.010289	0.213899
0.030000	1.775748	407.324983	0.202785	-2.018362	331.668655	0.213974
0.040000	1.894479	406.281949	0.203034	-2.044766	332.399343	0.214070
0.050000	1.960995	405.312814	0.203251	-2.056014	333.198333	0.214160
0.060000	1.975309	404.444206	0.203422	-2.049223	334.042917	0.214217
0.070000	1.947581	403.702997	0.203543	-2.025813	334.895740	0.214221
0.080000	1.898171	403.109333	0.203627	-1.993011	335.714965	0.214172
0.090000	1.854004	402.668565	0.203700	-1.963207	336.467631	0.214090
0.100000	1.841205	402.365459	0.203794	-1.950421	337.139695	0.214004
0.110000	1.876039	402.163626	0.203939	-1.964642	337.736842	0.213944
0.120000	1.958030	402.011396	0.204149	-2.006635	338.275570	0.213930
0.130000	2.069145	401.852989	0.204423	-2.066409	338.770136	0.213963
0.140000	2.180549	401.641712	0.204743	-2.126806	339.222871	0.214032
0.150000	2.264621	401.350971	0.205081	-2.170506	339.622292	0.214117
0.160000	2.306757	400.979857	0.205409	-2.186521	339.948507	0.214200
0.170000	2.311121	400.552188	0.205707	-2.172846	340.182540	0.214265
0.180000	2.297517	400.109649	0.205965	-2.134729	340.316272	0.214310
0.190000	2.291305	399.700421	0.206183	-2.080761	340.360913	0.214338
0.200000	2.311898	399.365284	0.206371	-2.019457	340.351655	0.214364
0.210000	2.365571	399.124703	0.206546	-1.957586	340.344822	0.214400
0.220000	2.445182	398.972099	0.206722	-1.899892	340.404542	0.214458
0.230000	2.535378	398.877824	0.206911	-1.849317	340.580963	0.214537
0.240000	2.619451	398.803997	0.207114	-1.807383	340.888916	0.214626
0.250000	2.684356	398.723883	0.207320	-1.774783	341.298212	0.214711
0.260000	2.722561	398.635355	0.207509	-1.752176	341.741099	0.214772
0.270000	2.731663	398.560091	0.207654	-1.740805	342.132470	0.214799
0.280000	2.713603	398.528428	0.207737	-1.742440	342.392350	0.214787
0.290000	2.674426	398.559267	0.207754	-1.758582	342.462285	0.214739
