time (s)	dominant Fap (N)	dominant Fvert (N)	dominant CPap (m)	non-dominant Fap (N)	non-dominant Fvert (N)	non-dominant CPap (m)
0.000000	-3.266407	422.053747	0.212819	2.676980	520.737236	0.208389
0.010000	-3.277949	421.598191	0.212667	2.704447	520.388307	0.208194
0.020000	-3.304301	421.203785	0.212506	2.719008	520.100383	0.208016
0.030000	-3.352165	420.923354	0.212333	2.709807	519.915117	0.207865
0.040000	-3.416294	420.793085	0.212149	2.670399	519.843757	0.207736
0.050000	-3.481943	420.822604	0.211963	2.600399	519.866987	0.207611
0.060000	-3.533736	420.989044	0.211782	2.505338	519.944582	0.207468
0.070000	-3.567103	421.240405	0.211606	2.394062	520.030688	0.207286
0.080000	-3.595639	421.509535	0.211430	2.274512	520.089604	0.207054
0.090000	-3.648537	421.733902	0.211241	2.150148	520.106860	0.206775
0.100000	-3.757324	421.872315	0.211030	2.019364	520.091064	0.206464
0.110000	-3.937926	421.911275	0.210788	1.878681	520.065291	0.206140
0.120000	-4.177957	421.859864	0.210519	1.727997	520.052391	0.205825
0.130000	-4.437260	421.738625	0.210233	1.574435	520.062930	0.205538
0.140000	-4.662819	421.570150	0.209946	1.431668	520.093313	0.205286
0.150000	-4.811180	421.375562	0.209674	1.314250	520.134873	0.205070
0.160000	-4.867016	421.175030	0.209429	1.229861	520.187115	0.204883
0.170000	-4.848102	420.986924	0.209218	1.174305	520.265650	0.204712
0.180000	-4.794256	420.822236	0.209040	1.132852	520.399295	0.204548
0.190000	-4.746616	420.676594	0.208891	1.087925	520.617770	0.204390
0.200000	-4.728675	420.526721	0.208767	1.029204	520.936295	0.204247
0.210000	-4.738574	420.337243	0.208673	0.960573	521.344128	0.204136
0.220000	-4.754893	420.077280	0.208615	0.899889	521.802208	0.204075
0.230000	-4.750585	419.738889	0.208602	0.871361	522.252349	0.204078
0.240000	-4.706505	419.346718	0.208642	0.894289	522.636833	0.204147
0.250000	-4.618406	418.952561	0.208732	0.973805	522.922227	0.204269
0.260000	-4.496505	418.616822	0.208858	1.098089	523.116603	0.204426
0.270000	-4.360757	418.385668	0.209002	1.243000	523.269322	0.204597
0.280000	-4.235525	418.273918	0.209142	1.381266	523.449701	0.204766
0.290000	-4.145181	418.259806	0.209265	1.491476	523.712747	0.204921
0.300000	-4.109943	418.292080	0.209370	1.562985	524.069320	0.205059
0.310000	-4.140964	418.305771	0.209464	1.595684	524.477718	0.205180
0.320000	-4.235350	418.241185	0.209560	1.596331	524.862662	0.205288
0.330000	-4.373804	418.060645	0.209666	1.574296	525.152084	0.205389
0.340000	-4.523831	417.758445	0.209789	1.538714	525.311770	0.205489
0.350000	-4.649001	417.361604	0.209928	1.497242	525.359737	0.205593
0.360000	-4.720909	416.921822	0.210077	1.455513	525.354880	0.205704
0.370000	-4.728096	416.501448	0.210230	1.416580	525.368856	0.205822
0.380000	-4.677409	416.157248	0.210381	1.380681	525.456818	0.205943
0.390000	-4.587775	415.925702	0.210525	1.346245	525.639138	0.206065
0.400000	-4.480702	415.813382	0.210659	1.312484	525.898097	0.206184
0.410000	-4.372989	415.795639	0.210787	1.282640	526.187303	0.206301
0.420000	-4.274609	415.825213	0.210918	1.265896	526.449009	0.206416
0.430000	-4.190689	415.848793	0.211064	1.276079	526.633711	0.206531
0.440000	-4.124146	415.825480	0.211238	1.326692	526.716156	0.206650
0.450000	-4.076205	415.739573	0.211444	1.423791	526.703001	0.206775
0.460000	-4.044718	415.602694	0.211678	1.559793	526.630395	0.206908
0.470000	-4.022647	415.445459	0.211925	1.711662	526.553095	0.207045
0.480000	-3.999222	415.303117	0.212164	1.845721	526.528662	0.207181
0.490000	-3.964044	415.200879	0.212381	1.928850	526.600556	0.207308
0.500000	-3.911655	415.143647	0.212569	1.942767	526.784075	0.207430
0.510000	-3.842981	415.113372	0.212736	1.895807	527.059536	0.207562
0.520000	-3.761918	415.075459	0.212904	1.826328	527.376706	0.207734
0.530000	-3.668851	414.992727	0.213099	1.794471	527.671421	0.207989
0.540000	-3.555736	414.841444	0.213346	1.863726	527.889645	0.208369
0.550000	-3.407025	414.621657	0.213659	2.078705	528.009023	0.208898
0.560000	-3.207309	414.356494	0.214034	2.448013	528.047129	0.209572
0.570000	-2.952138	414.081832	0.214446	2.939504	528.051275	0.210349
0.580000	-2.656106	413.833798	0.214857	3.489874	528.074403	0.211162
0.590000	-2.353444	413.641709	0.215223	4.024243	528.149664	0.211931
0.600000	-2.090307	413.528087	0.215513	4.477293	528.277075	0.212591
0.610000	-1.911955	413.510760	0.215713	4.807964	528.428161	0.213106
0.620000	-1.849769	413.600681	0.215836	5.003761	528.563527	0.213476
0.630000	-1.912176	413.794171	0.215911	5.075868	528.651672	0.213728
0.640000	-2.081694	414.064850	0.215968	5.049498	528.679069	0.213898
0.650000	-2.318865	414.362864	0.216030	4.954139	528.648980	0.214016
0.660000	-2.572724	414.625201	0.216099	4.816446	528.573388	0.214092
0.670000	-2.795643	414.793978	0.216164	4.656387	528.464651	0.214122
0.680000	-2.957786	414.834729	0.216206	4.486287	528.331455	0.214094
0.690000	-3.055031	414.746585	0.216213	4.312449	528.179886	0.214005
0.700000	-3.106043	414.560553	0.216182	4.139105	528.017163	0.213868
0.710000	-3.139384	414.327882	0.216130	3.973565	527.853829	0.213717
0.720000	-3.177250	414.104510	0.216081	3.830029	527.701030	0.213597
0.730000	-3.224694	413.937891	0.216061	3.729184	527.563234	0.213552
0.740000	-3.270051	413.859549	0.216088	3.692413	527.431611	0.213609
0.750000	-3.295318	413.882946	0.216168	3.732738	527.285366	0.213765
0.760000	-3.289247	414.004317	0.216293	3.847199	527.104234	0.213996
0.770000	-3.254833	414.204900	0.216446	4.015212	526.886617	0.214258
0.780000	-3.207340	414.454779	0.216602	4.204286	526.661074	0.214508
0.790000	-3.165465	414.719088	0.216736	4.380312	526.480687	0.214715
0.800000	-3.141982	414.965747	0.216830	4.517333	526.400017	0.214861
